#####################################################################
# Alchemist log file - simulation started at: 2025-02-10T09:23+0000 #
#####################################################################
#
# maxChildren = 3.0, maxResource = 3.0, maxSuccess = 500.0, resourceLowerBound = 5.0, seed = 0.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord network-diameter[max] network-diameter[mean] network-diameter[variance] network-diameter[median] network-diameter[StandardDeviation] network-density[max] network-density[mean] network-density[variance] network-density[median] network-density[StandardDeviation] network-degree[max] network-degree[mean] network-degree[variance] network-degree[median] network-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] 
0.0 1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN 0.0 0.0 0.0 0.0 0.0 0.00 0.00 0.00 0.00 0.00 NaN NaN NaN NaN NaN 3.00 3.00 0.00 3.00 0.00 NaN NaN NaN NaN NaN
0.0 2 1.46033343306263 2.0291442196846217 1.0 1.0 0.0 1.0 0.0 0.17 0.17 0.0 0.17 0.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.102 0.102 0.00 0.102 0.00 5.40 2.70 14.6 2.70 3.82 0.102 0.102 0.00 0.102 0.00
1.0 2 1.46033343306263 2.0291442196846217 1.0 1.0 0.0 1.0 0.0 0.17 0.17 0.0 0.17 0.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.165 0.134 0.00202 0.134 0.0449 113 60.4 5.59e+03 60.4 74.7 0.165 0.124 0.00341 0.124 0.0584
2.0 2 1.46033343306263 2.0291442196846217 1.0 1.0 0.0 1.0 0.0 0.17 0.17 0.0 0.17 0.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.165 0.134 0.00202 0.134 0.0449 102 54.7 4.45e+03 54.7 66.7 0.165 0.124 0.00341 0.124 0.0584
3.0 5 1.1204214791734715 5.249295673081795 2.0 2.0 0.0 2.0 0.0 0.42 0.21 0.022 0.16 0.15 4.0 2.4 1.3 2.0 1.1 3.00 0.800 1.70 0.00 1.30 2.00 0.895 0.974 0.259 0.987 102 21.9 2.01e+03 0.00 44.9 2.00 0.891 0.982 0.259 0.991
4.0 5 1.1204214791734715 5.249295673081795 2.0 2.0 0.0 2.0 0.0 0.42 0.21 0.022 0.16 0.15 4.0 2.4 1.3 2.0 1.1 3.00 0.800 1.70 0.00 1.30 2.00 0.895 0.974 0.259 0.987 129 27.7 3.22e+03 0.00 56.8 2.24 1.51 0.671 1.94 0.819
5.0 5 1.1204214791734715 5.249295673081795 2.0 2.0 0.0 2.0 0.0 0.42 0.21 0.022 0.16 0.15 4.0 2.4 1.3 2.0 1.1 3.00 0.800 1.70 0.00 1.30 2.00 0.895 0.974 0.259 0.987 6.31e+03 2.67e+03 1.06e+07 808 3.25e+03 2.24 1.51 0.671 1.94 0.819
6.0 5 1.1204214791734715 5.249295673081795 2.0 2.0 0.0 2.0 0.0 0.42 0.21 0.022 0.16 0.15 4.0 2.4 1.3 2.0 1.1 3.00 0.800 1.70 0.00 1.30 2.00 0.895 0.974 0.259 0.987 6.31e+03 2.67e+03 1.06e+07 808 3.25e+03 2.24 1.51 0.671 1.94 0.819
7.0 8 -0.7097774257209448 7.493916263819924 3.0 3.0 0.0 3.0 0.0 0.67 0.23 0.046 0.14 0.22 6.0 3.0 2.3 3.0 1.5 3.00 0.875 1.84 0.00 1.36 9.54 3.80 16.8 1.97 4.10 6.31e+03 1.67e+03 7.95e+06 62.8 2.82e+03 9.54 4.19 14.2 2.12 3.76
8.0 8 -0.7097774257209448 7.493916263819924 3.0 3.0 0.0 3.0 0.0 0.67 0.23 0.046 0.14 0.22 6.0 3.0 2.3 3.0 1.5 3.00 0.875 1.84 0.00 1.36 9.54 3.80 16.8 1.97 4.10 6.31e+03 1.67e+03 7.95e+06 62.8 2.82e+03 25.9 7.18 70.7 5.18 8.41
9.0 8 -0.7097774257209448 7.493916263819924 3.0 3.0 0.0 3.0 0.0 0.67 0.23 0.046 0.14 0.22 6.0 3.0 2.3 3.0 1.5 3.00 0.875 1.84 0.00 1.36 9.54 3.80 16.8 1.97 4.10 6.31e+03 1.67e+03 7.97e+06 43.5 2.82e+03 25.9 9.57 64.2 8.19 8.01
10.0 8 -0.7097774257209448 7.493916263819924 3.0 3.0 0.0 3.0 0.0 0.67 0.23 0.046 0.14 0.22 6.0 3.0 2.3 3.0 1.5 3.00 0.875 1.84 0.00 1.36 9.54 3.80 16.8 1.97 4.10 1.53e+05 5.12e+04 5.04e+09 228 7.10e+04 25.9 9.57 64.2 8.19 8.01
11.0 8 -0.7097774257209448 7.493916263819924 3.0 3.0 0.0 3.0 0.0 0.67 0.23 0.046 0.14 0.22 6.0 3.0 2.3 3.0 1.5 3.00 0.875 1.84 0.00 1.36 9.54 3.80 16.8 1.97 4.10 1.53e+05 5.12e+04 5.04e+09 228 7.10e+04 25.9 9.57 64.2 8.19 8.01
12.0 8 -0.7097774257209448 7.493916263819924 3.0 3.0 0.0 3.0 0.0 0.67 0.23 0.046 0.14 0.22 6.0 3.0 2.3 3.0 1.5 3.00 0.875 1.84 0.00 1.36 9.54 3.80 16.8 1.97 4.10 1.53e+05 5.12e+04 5.04e+09 228 7.10e+04 25.9 9.57 64.2 8.19 8.01
13.0 11 -1.3752017821920703 9.683166182093185 4.0 4.0 0.0 4.0 0.0 0.93 0.24 0.073 0.12 0.27 6.0 2.9 3.1 2.0 1.8 3.00 0.909 1.89 0.00 1.38 75.5 19.0 728 8.12 27.0 1.53e+05 3.72e+04 4.10e+09 31.2 6.40e+04 75.5 23.2 628 9.54 25.1
14.0 11 -1.3752017821920703 9.683166182093185 4.0 4.0 0.0 4.0 0.0 0.93 0.24 0.073 0.12 0.27 6.0 2.9 3.1 2.0 1.8 3.00 0.909 1.89 0.00 1.38 75.5 19.0 728 8.12 27.0 1.53e+05 3.72e+04 4.10e+09 31.2 6.40e+04 178 38.5 2.76e+03 15.0 52.5
15.0 11 -1.3752017821920703 9.683166182093185 4.0 4.0 0.0 4.0 0.0 0.93 0.24 0.073 0.12 0.27 6.0 2.9 3.1 2.0 1.8 3.00 0.909 1.89 0.00 1.38 75.5 19.0 728 8.12 27.0 1.53e+05 3.72e+04 4.10e+09 31.2 6.40e+04 195 53.9 4.92e+03 15.0 70.2
16.0 11 -1.3752017821920703 9.683166182093185 4.0 4.0 0.0 4.0 0.0 0.93 0.24 0.073 0.12 0.27 6.0 2.9 3.1 2.0 1.8 3.00 0.909 1.89 0.00 1.38 75.5 19.0 728 8.12 27.0 1.53e+05 3.72e+04 4.10e+09 31.2 6.40e+04 195 66.1 4.65e+03 52.5 68.2
17.0 11 -1.3752017821920703 9.683166182093185 4.0 4.0 0.0 4.0 0.0 0.93 0.24 0.073 0.12 0.27 6.0 2.9 3.1 2.0 1.8 3.00 0.909 1.89 0.00 1.38 75.5 19.0 728 8.12 27.0 6.80e+08 1.21e+08 5.15e+16 160 2.27e+08 195 66.1 4.65e+03 52.5 68.2
