#####################################################################
# Alchemist log file - simulation started at: 2025-03-06T14:45+0000 #
#####################################################################
#
# seed = 109.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord number-of-leaves network-density network-diameter nodes-degree[max] nodes-degree[mean] nodes-degree[variance] nodes-degree[median] nodes-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] 
0.0 1 10.0 10.0 1.0 NaN 0.0 0.0 0.0 0.0 0.0 0.0 0.00 0.00 0.00 0.00 0.00 NaN NaN NaN NaN NaN 3.00 3.00 0.00 3.00 0.00 NaN NaN NaN NaN NaN
0.3410421695838586 2 11.971602345458214 8.462864940422062 1.0 0.16498279241230637 1.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.102 0.102 0.00 0.102 0.00 5.40 2.70 14.6 2.70 3.82 0.102 0.102 0.00 0.102 0.00
1.3410421695838586 2 11.971602345458214 8.462864940422062 1.0 0.16498279241230637 1.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.102 0.101 1.64e-06 0.101 0.00128 68.8 38.2 1.88e+03 38.2 43.3 0.100 0.0751 0.00125 0.0751 0.0353
2.341042169583859 2 11.971602345458214 8.462864940422062 1.0 0.16498279241230637 1.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.102 0.101 1.64e-06 0.101 0.00128 61.9 34.7 1.48e+03 34.7 38.4 0.100 0.0751 0.00125 0.0751 0.0353
3.341042169583859 5 13.857561116962803 6.827615637970824 3.0 0.0769284164061386 2.0 4.0 2.4 0.80 2.0 0.89 3.00 0.800 1.70 0.00 1.30 0.102 0.100 6.73e-07 0.100 0.000820 61.9 13.9 731 0.00 27.0 0.100 0.0900 0.000498 0.100 0.0223
4.341042169583859 5 13.857561116962803 6.827615637970824 3.0 0.0769284164061386 2.0 4.0 2.4 0.80 2.0 0.89 3.00 0.800 1.70 0.00 1.30 0.102 0.100 6.73e-07 0.100 0.000820 15.0 4.91 49.0 0.00 7.00 0.150 0.105 0.000748 0.100 0.0274
5.341042169583859 5 13.857561116962803 6.827615637970824 3.0 0.0769284164061386 2.0 4.0 2.4 0.80 2.0 0.89 3.00 0.800 1.70 0.00 1.30 0.102 0.100 6.73e-07 0.100 0.000820 37.0 26.8 196 37.0 14.0 0.150 0.105 0.000748 0.100 0.0274
6.341042169583859 5 13.857561116962803 6.827615637970824 3.0 0.0769284164061386 2.0 4.0 2.4 0.80 2.0 0.89 3.00 0.800 1.70 0.00 1.30 0.102 0.100 6.73e-07 0.100 0.000820 37.0 26.8 196 37.0 14.0 0.150 0.105 0.000748 0.100 0.0274
7.341042169583859 8 16.91115919963528 8.645641017458148 5.0 0.06501856120161324 3.0 5.0 3.0 1.1 3.0 1.1 3.00 0.875 1.84 0.00 1.36 0.102 0.101 4.92e-07 0.100 0.000701 37.0 16.7 305 11.5 17.5 0.150 0.103 0.000433 0.100 0.0208
8.341042169583858 8 16.91115919963528 8.645641017458148 5.0 0.06501856120161324 3.0 5.0 3.0 1.1 3.0 1.1 3.00 0.875 1.84 0.00 1.36 0.102 0.101 4.92e-07 0.100 0.000701 37.0 16.7 305 11.5 17.5 0.151 0.110 0.000709 0.101 0.0266
9.341042169583858 8 16.91115919963528 8.645641017458148 5.0 0.06501856120161324 3.0 5.0 3.0 1.1 3.0 1.1 3.00 0.875 1.84 0.00 1.36 0.102 0.101 4.92e-07 0.100 0.000701 37.0 17.0 301 12.4 17.4 0.176 0.115 0.000966 0.101 0.0311
10.341042169583858 8 16.91115919963528 8.645641017458148 5.0 0.06501856120161324 3.0 5.0 3.0 1.1 3.0 1.1 3.00 0.875 1.84 0.00 1.36 0.102 0.101 4.92e-07 0.100 0.000701 16.0 10.6 28.5 11.7 5.34 0.176 0.115 0.000966 0.101 0.0311
11.341042169583858 8 16.91115919963528 8.645641017458148 5.0 0.06501856120161324 3.0 5.0 3.0 1.1 3.0 1.1 3.00 0.875 1.84 0.00 1.36 0.102 0.101 4.92e-07 0.100 0.000701 16.0 10.6 28.5 11.7 5.34 0.176 0.115 0.000966 0.101 0.0311
12.341042169583858 8 16.91115919963528 8.645641017458148 5.0 0.06501856120161324 3.0 5.0 3.0 1.1 3.0 1.1 3.00 0.875 1.84 0.00 1.36 0.102 0.101 4.92e-07 0.100 0.000701 16.0 10.6 28.5 11.7 5.34 0.176 0.115 0.000966 0.101 0.0311
13.341042169583858 11 18.660844541004 10.089328277984107 7.0 0.05185540090290272 4.0 6.0 3.5 2.1 3.0 1.4 3.00 0.909 1.89 0.00 1.38 0.163 0.107 0.000350 0.100 0.0187 16.0 7.72 44.5 5.79 6.67 0.176 0.117 0.000925 0.101 0.0304
14.341042169583858 11 18.660844541004 10.089328277984107 7.0 0.05185540090290272 4.0 6.0 3.5 2.1 3.0 1.4 3.00 0.909 1.89 0.00 1.38 0.163 0.107 0.000350 0.100 0.0187 16.0 7.72 44.5 5.79 6.67 0.186 0.125 0.00131 0.101 0.0362
15.341042169583858 11 18.660844541004 10.089328277984107 7.0 0.05185540090290272 4.0 6.0 3.5 2.1 3.0 1.4 3.00 0.909 1.89 0.00 1.38 0.163 0.107 0.000350 0.100 0.0187 16.0 7.72 44.5 5.79 6.67 0.194 0.129 0.00170 0.101 0.0412
16.341042169583858 11 18.660844541004 10.089328277984107 7.0 0.05185540090290272 4.0 6.0 3.5 2.1 3.0 1.4 3.00 0.909 1.89 0.00 1.38 0.163 0.107 0.000350 0.100 0.0187 16.0 8.07 48.3 5.79 6.95 0.197 0.132 0.00186 0.101 0.0431
17.341042169583858 11 18.660844541004 10.089328277984107 7.0 0.05185540090290272 4.0 6.0 3.5 2.1 3.0 1.4 3.00 0.909 1.89 0.00 1.38 0.163 0.107 0.000350 0.100 0.0187 16.5 7.72 26.7 6.44 5.17 0.197 0.132 0.00186 0.101 0.0431
