#####################################################################
# Alchemist log file - simulation started at: 2025-03-03T13:29+0000 #
#####################################################################
#
# seed = 249.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord number-of-leaves network-diameter[max] network-diameter[mean] network-diameter[median] network-density[max] network-density[mean] network-density[variance] network-density[median] network-density[StandardDeviation] nodes-degree[max] nodes-degree[mean] nodes-degree[variance] nodes-degree[median] nodes-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] 
0.0 1 10.0 10.0 1.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN 0.0 0.0 0.0 0.0 0.0 0.00 0.00 0.00 0.00 0.00 NaN NaN NaN NaN NaN 3.00 3.00 0.00 3.00 0.00 NaN NaN NaN NaN NaN
0.0 2 10.557768631027281 7.5630153561743665 1.0 1.0 1.0 1.0 0.37 0.37 0.0 0.37 0.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.102 0.102 0.00 0.102 0.00 5.40 2.70 14.6 2.70 3.82 0.102 0.102 0.00 0.102 0.00
1.0 2 10.557768631027281 7.5630153561743665 1.0 1.0 1.0 1.0 0.37 0.37 0.0 0.37 0.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.102 0.101 1.72e-06 0.101 0.00131 68.8 38.2 1.87e+03 38.2 43.3 0.100 0.0751 0.00125 0.0751 0.0353
2.0 2 10.557768631027281 7.5630153561743665 1.0 1.0 1.0 1.0 0.37 0.37 0.0 0.37 0.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.102 0.101 1.72e-06 0.101 0.00131 61.9 34.7 1.48e+03 34.7 38.4 0.100 0.0751 0.00125 0.0751 0.0353
3.0 5 11.261370183481638 5.530047221411477 3.0 2.0 2.0 2.0 0.92 0.31 0.17 0.12 0.41 4.0 2.0 1.5 2.0 1.2 3.00 0.800 1.70 0.00 1.30 0.102 0.100 6.69e-07 0.100 0.000818 61.9 13.9 731 0.00 27.0 0.100 0.0901 0.000499 0.100 0.0223
4.0 5 11.261370183481638 5.530047221411477 3.0 2.0 2.0 2.0 0.92 0.31 0.17 0.12 0.41 4.0 2.0 1.5 2.0 1.2 3.00 0.800 1.70 0.00 1.30 0.102 0.100 6.69e-07 0.100 0.000818 15.1 4.91 49.1 0.00 7.01 0.150 0.105 0.000749 0.100 0.0274
5.0 5 11.261370183481638 5.530047221411477 3.0 2.0 2.0 2.0 0.92 0.31 0.17 0.12 0.41 4.0 2.0 1.5 2.0 1.2 3.00 0.800 1.70 0.00 1.30 0.102 0.100 6.69e-07 0.100 0.000818 37.0 26.8 197 37.0 14.0 0.150 0.105 0.000749 0.100 0.0274
6.0 5 11.261370183481638 5.530047221411477 3.0 2.0 2.0 2.0 0.92 0.31 0.17 0.12 0.41 4.0 2.0 1.5 2.0 1.2 3.00 0.800 1.70 0.00 1.30 0.102 0.100 6.69e-07 0.100 0.000818 37.0 26.8 197 37.0 14.0 0.150 0.105 0.000749 0.100 0.0274
7.0 8 8.088399621381974 5.735265328198015 5.0 3.0 3.0 3.0 1.5 0.31 0.27 0.089 0.52 5.0 2.8 1.9 3.0 1.4 3.00 0.875 1.84 0.00 1.36 0.102 0.100 4.15e-07 0.100 0.000645 37.0 16.8 305 11.5 17.5 0.150 0.103 0.000435 0.100 0.0208
8.0 8 8.088399621381974 5.735265328198015 5.0 3.0 3.0 3.0 1.5 0.31 0.27 0.089 0.52 5.0 2.8 1.9 3.0 1.4 3.00 0.875 1.84 0.00 1.36 0.102 0.100 4.15e-07 0.100 0.000645 37.0 16.8 305 11.5 17.5 0.150 0.109 0.000703 0.100 0.0265
