#####################################################################
# Alchemist log file - simulation started at: 2025-02-19T18:53+0000 #
#####################################################################
#
# seed = 362.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord network-diameter[max] network-diameter[mean] network-diameter[median] network-density[max] network-density[mean] network-density[variance] network-density[median] network-density[StandardDeviation] nodes-degree[max] nodes-degree[mean] nodes-degree[variance] nodes-degree[median] nodes-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] 
0.0 1 10.0 10.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN 0.0 0.0 0.0 0.0 0.0 0.00 0.00 0.00 0.00 0.00 NaN NaN NaN NaN NaN 3.00 3.00 0.00 3.00 0.00 NaN NaN NaN NaN NaN
0.0 2 12.299337500659927 10.98134961051552 1.0 1.0 1.0 0.22 0.22 0.0 0.22 0.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.102 0.102 0.00 0.102 0.00 5.40 2.70 14.6 2.70 3.82 0.102 0.102 0.00 0.102 0.00
1.0 2 12.299337500659927 10.98134961051552 1.0 1.0 1.0 0.22 0.22 0.0 0.22 0.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.108 0.105 1.91e-05 0.105 0.00437 74.2 40.9 2.22e+03 40.9 47.1 0.108 0.0811 0.00145 0.0811 0.0381
2.0 2 12.299337500659927 10.98134961051552 1.0 1.0 1.0 0.22 0.22 0.0 0.22 0.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.108 0.105 1.91e-05 0.105 0.00437 66.8 37.2 1.76e+03 37.2 41.9 0.108 0.0811 0.00145 0.0811 0.0381
3.0 5 15.76163719933671 11.742658326001958 2.0 2.0 2.0 0.55 0.20 0.055 0.094 0.24 4.0 2.0 1.5 2.0 1.2 3.00 0.800 1.70 0.00 1.30 0.166 0.117 0.000751 0.108 0.0274 66.8 14.9 854 0.00 29.2 0.166 0.108 0.00158 0.108 0.0397
4.0 5 15.76163719933671 11.742658326001958 2.0 2.0 2.0 0.55 0.20 0.055 0.094 0.24 4.0 2.0 1.5 2.0 1.2 3.00 0.800 1.70 0.00 1.30 0.166 0.117 0.000751 0.108 0.0274 17.5 5.40 62.6 0.00 7.91 0.190 0.132 0.00183 0.111 0.0428
5.0 5 15.76163719933671 11.742658326001958 2.0 2.0 2.0 0.55 0.20 0.055 0.094 0.24 4.0 2.0 1.5 2.0 1.2 3.00 0.800 1.70 0.00 1.30 0.166 0.117 0.000751 0.108 0.0274 70.8 37.3 624 42.9 25.0 0.190 0.132 0.00183 0.111 0.0428
6.0 5 15.76163719933671 11.742658326001958 2.0 2.0 2.0 0.55 0.20 0.055 0.094 0.24 4.0 2.0 1.5 2.0 1.2 3.00 0.800 1.70 0.00 1.30 0.166 0.117 0.000751 0.108 0.0274 70.8 37.3 624 42.9 25.0 0.190 0.132 0.00183 0.111 0.0428
7.0 8 16.183653544102327 14.660850736811621 3.0 3.0 3.0 0.89 0.21 0.090 0.11 0.30 5.0 2.5 2.0 2.0 1.4 3.00 0.875 1.84 0.00 1.36 2.68 0.692 0.864 0.138 0.929 70.8 23.3 730 12.6 27.0 2.68 0.702 0.852 0.178 0.923
8.0 8 16.183653544102327 14.660850736811621 3.0 3.0 3.0 0.89 0.21 0.090 0.11 0.30 5.0 2.5 2.0 2.0 1.4 3.00 0.875 1.84 0.00 1.36 2.68 0.692 0.864 0.138 0.929 70.8 23.3 730 12.6 27.0 2.68 1.01 1.24 0.594 1.11
9.0 8 16.183653544102327 14.660850736811621 3.0 3.0 3.0 0.89 0.21 0.090 0.11 0.30 5.0 2.5 2.0 2.0 1.4 3.00 0.875 1.84 0.00 1.36 2.68 0.692 0.864 0.138 0.929 81.6 31.8 1.12e+03 27.1 33.4 2.68 1.24 0.997 1.13 0.999
10.0 8 16.183653544102327 14.660850736811621 3.0 3.0 3.0 0.89 0.21 0.090 0.11 0.30 5.0 2.5 2.0 2.0 1.4 3.00 0.875 1.84 0.00 1.36 2.68 0.692 0.864 0.138 0.929 3.38e+04 7.84e+03 1.51e+08 268 1.23e+04 2.68 1.24 0.997 1.13 0.999
11.0 8 16.183653544102327 14.660850736811621 3.0 3.0 3.0 0.89 0.21 0.090 0.11 0.30 5.0 2.5 2.0 2.0 1.4 3.00 0.875 1.84 0.00 1.36 2.68 0.692 0.864 0.138 0.929 3.38e+04 7.84e+03 1.51e+08 268 1.23e+04 2.68 1.24 0.997 1.13 0.999
12.0 8 16.183653544102327 14.660850736811621 3.0 3.0 3.0 0.89 0.21 0.090 0.11 0.30 5.0 2.5 2.0 2.0 1.4 3.00 0.875 1.84 0.00 1.36 2.68 0.692 0.864 0.138 0.929 3.38e+04 7.84e+03 1.51e+08 268 1.23e+04 2.68 1.24 0.997 1.13 0.999
13.0 11 16.749412464929005 15.922408872511797 4.0 4.0 4.0 1.2 0.22 0.13 0.088 0.35 7.0 3.6 3.7 4.0 1.9 3.00 0.909 1.89 0.00 1.38 18.4 2.21 29.5 0.180 5.43 3.38e+04 5.70e+03 1.19e+08 21.3 1.09e+04 18.4 2.62 28.3 0.999 5.32
