#####################################################################
# Alchemist log file - simulation started at: 2025-03-05T17:39+0000 #
#####################################################################
#
# seed = 464.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord number-of-leaves network-density network-diameter[max] network-diameter[mean] network-diameter[median] nodes-degree[max] nodes-degree[mean] nodes-degree[variance] nodes-degree[median] nodes-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] 
0.0 1 10.0 10.0 1.0 Infinity 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.00 0.00 0.00 0.00 0.00 NaN NaN NaN NaN NaN 3.00 3.00 0.00 3.00 0.00 NaN NaN NaN NaN NaN
0.3842297470754359 2 12.442065189917543 9.464913457286585 1.0 0.3826385503738138 1.0 1.0 1.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.102 0.102 0.00 0.102 0.00 5.40 2.70 14.6 2.70 3.82 0.102 0.102 0.00 0.102 0.00
1.384229747075436 2 12.442065189917543 9.464913457286585 1.0 0.3826385503738138 1.0 1.0 1.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.102 0.101 1.09e-06 0.101 0.00104 69.0 38.3 1.89e+03 38.3 43.5 0.100 0.0753 0.00126 0.0753 0.0354
2.3842297470754357 2 12.442065189917543 9.464913457286585 1.0 0.3826385503738138 1.0 1.0 1.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.102 0.101 1.09e-06 0.101 0.00104 62.1 34.8 1.49e+03 34.8 38.6 0.100 0.0753 0.00126 0.0753 0.0354
3.3842297470754357 5 14.298230708287894 8.06263703781292 3.0 0.07183604684994374 2.0 2.0 2.0 4.0 2.0 1.5 2.0 1.2 3.00 0.800 1.70 0.00 1.30 0.110 0.102 1.79e-05 0.100 0.00423 62.1 13.9 736 0.00 27.1 0.110 0.0921 0.000564 0.100 0.0238
4.384229747075436 5 14.298230708287894 8.06263703781292 3.0 0.07183604684994374 2.0 2.0 2.0 4.0 2.0 1.5 2.0 1.2 3.00 0.800 1.70 0.00 1.30 0.110 0.102 1.79e-05 0.100 0.00423 15.5 4.99 51.2 0.00 7.16 0.155 0.109 0.000815 0.100 0.0285
5.384229747075436 5 14.298230708287894 8.06263703781292 3.0 0.07183604684994374 2.0 2.0 2.0 4.0 2.0 1.5 2.0 1.2 3.00 0.800 1.70 0.00 1.30 0.110 0.102 1.79e-05 0.100 0.00423 41.7 28.2 232 38.0 15.2 0.155 0.109 0.000815 0.100 0.0285
6.384229747075436 5 14.298230708287894 8.06263703781292 3.0 0.07183604684994374 2.0 2.0 2.0 4.0 2.0 1.5 2.0 1.2 3.00 0.800 1.70 0.00 1.30 0.110 0.102 1.79e-05 0.100 0.00423 41.7 28.2 232 38.0 15.2 0.155 0.109 0.000815 0.100 0.0285
7.384229747075436 8 16.15661959539303 10.531866624756606 5.0 0.05572040417428726 3.0 3.0 3.0 4.0 2.3 1.4 2.0 1.2 3.00 0.875 1.84 0.00 1.36 0.203 0.116 0.00125 0.102 0.0354 41.7 17.6 346 11.7 18.6 0.203 0.120 0.00160 0.106 0.0400
8.384229747075436 8 16.15661959539303 10.531866624756606 5.0 0.05572040417428726 3.0 3.0 3.0 4.0 2.3 1.4 2.0 1.2 3.00 0.875 1.84 0.00 1.36 0.203 0.116 0.00125 0.102 0.0354 41.7 17.6 346 11.7 18.6 0.211 0.133 0.00258 0.107 0.0508
9.384229747075436 8 16.15661959539303 10.531866624756606 5.0 0.05572040417428726 3.0 3.0 3.0 4.0 2.3 1.4 2.0 1.2 3.00 0.875 1.84 0.00 1.36 0.203 0.116 0.00125 0.102 0.0354 41.7 18.0 341 13.2 18.5 0.211 0.142 0.00286 0.107 0.0535
10.384229747075436 8 16.15661959539303 10.531866624756606 5.0 0.05572040417428726 3.0 3.0 3.0 4.0 2.3 1.4 2.0 1.2 3.00 0.875 1.84 0.00 1.36 0.203 0.116 0.00125 0.102 0.0354 47.9 17.6 219 12.4 14.8 0.211 0.142 0.00286 0.107 0.0535
11.384229747075436 8 16.15661959539303 10.531866624756606 5.0 0.05572040417428726 3.0 3.0 3.0 4.0 2.3 1.4 2.0 1.2 3.00 0.875 1.84 0.00 1.36 0.203 0.116 0.00125 0.102 0.0354 47.9 17.6 219 12.4 14.8 0.211 0.142 0.00286 0.107 0.0535
