#####################################################################
# Alchemist log file - simulation started at: 2025-02-10T15:28+0000 #
#####################################################################
#
# maxResource = 3.0, maxSuccess = 500.0, resourceLowerBound = 5.0, seed = 3.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord network-diameter[max] network-diameter[mean] network-diameter[variance] network-diameter[median] network-diameter[StandardDeviation] network-density[max] network-density[mean] network-density[variance] network-density[median] network-density[StandardDeviation] network-degree[max] network-degree[mean] network-degree[variance] network-degree[median] network-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] 
0.0 1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN 0.0 0.0 0.0 0.0 0.0 0.00 0.00 0.00 0.00 0.00 NaN NaN NaN NaN NaN 3.00 3.00 0.00 3.00 0.00 NaN NaN NaN NaN NaN
0.0 2 -0.38651950611697616 2.4699398112891515 1.0 1.0 0.0 1.0 0.0 0.52 0.52 0.0 0.52 0.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.102 0.102 0.00 0.102 0.00 5.40 2.70 14.6 2.70 3.82 0.102 0.102 0.00 0.102 0.00
1.0 2 -0.38651950611697616 2.4699398112891515 1.0 1.0 0.0 1.0 0.0 0.52 0.52 0.0 0.52 0.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.258 0.180 0.0122 0.180 0.110 176 91.9 1.42e+04 91.9 119 0.258 0.194 0.00829 0.194 0.0910
2.0 2 -0.38651950611697616 2.4699398112891515 1.0 1.0 0.0 1.0 0.0 0.52 0.52 0.0 0.52 0.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.258 0.180 0.0122 0.180 0.110 159 83.1 1.14e+04 83.1 107 0.258 0.194 0.00829 0.194 0.0910
3.0 5 -1.2940676997119487 4.452309417881359 2.0 2.0 0.0 2.0 0.0 1.3 0.42 0.36 0.14 0.60 4.0 2.0 1.5 2.0 1.2 3.00 0.800 1.70 0.00 1.30 2.98 0.882 1.51 0.258 1.23 159 33.2 4.92e+03 0.00 70.2 2.98 0.887 1.49 0.258 1.22
4.0 5 -1.2940676997119487 4.452309417881359 2.0 2.0 0.0 2.0 0.0 1.3 0.42 0.36 0.14 0.60 4.0 2.0 1.5 2.0 1.2 3.00 0.800 1.70 0.00 1.30 2.98 0.882 1.51 0.258 1.23 87.0 19.3 1.45e+03 0.00 38.1 2.98 1.51 1.31 1.17 1.15
5.0 5 -1.2940676997119487 4.452309417881359 2.0 2.0 0.0 2.0 0.0 1.3 0.42 0.36 0.14 0.60 4.0 2.0 1.5 2.0 1.2 3.00 0.800 1.70 0.00 1.30 2.98 0.882 1.51 0.258 1.23 6.41e+03 1.75e+03 7.51e+06 211 2.74e+03 2.98 1.51 1.31 1.17 1.15
6.0 5 -1.2940676997119487 4.452309417881359 2.0 2.0 0.0 2.0 0.0 1.3 0.42 0.36 0.14 0.60 4.0 2.0 1.5 2.0 1.2 3.00 0.800 1.70 0.00 1.30 2.98 0.882 1.51 0.258 1.23 6.41e+03 1.75e+03 7.51e+06 211 2.74e+03 2.98 1.51 1.31 1.17 1.15
7.0 8 -0.365550599821185 7.465225206896304 3.0 3.0 0.0 3.0 0.0 2.1 0.41 0.56 0.13 0.75 4.0 2.3 1.4 2.0 1.2 3.00 0.875 1.84 0.00 1.36 30.1 7.70 125 1.97 11.2 6.41e+03 1.09e+03 5.11e+06 43.9 2.26e+03 30.1 8.09 118 2.66 10.9
8.0 8 -0.365550599821185 7.465225206896304 3.0 3.0 0.0 3.0 0.0 2.1 0.41 0.56 0.13 0.75 4.0 2.3 1.4 2.0 1.2 3.00 0.875 1.84 0.00 1.36 30.1 7.70 125 1.97 11.2 6.41e+03 1.09e+03 5.11e+06 43.9 2.26e+03 57.2 14.9 406 5.15 20.2
