time nodes network-hub-xCoord network-hub-yCoord number-of-leaves network-diameter[max] network-diameter[mean] network-diameter[median] network-density[max] network-density[mean] network-density[variance] network-density[median] network-density[StandardDeviation] nodes-degree[max] nodes-degree[mean] nodes-degree[variance] nodes-degree[median] nodes-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation]
364.00902415250386 50 8.81895381202811 32.884034353330996 33.0 9.0 9.0 9.0 4.2 0.26 0.40 0.072 0.63 11 5.7 6.8 6.0 2.6 3.00 0.980 1.98 0.00 1.41 468 138 1.84e+04 97.0 135 24.1 4.19 44.5 5.67e-09 6.67 3.78e+03 809 1.48e+06 177 1.22e+03
202.06420174588274 32 7.799715494823791 27.10141101665839 21.0 8.0 8.0 8.0 5.8 0.34 1.1 0.087 1.0 9.0 4.6 4.6 4.0 2.1 3.00 0.969 1.97 0.00 1.40 498 172 2.84e+04 130 168 22.1 4.95 50.0 0.00296 7.07 3.60e+03 883 1.39e+06 279 1.18e+03
248.01438566708308 38 7.948401615154007 27.59810713170453 25.0 8.0 8.0 8.0 3.3 0.27 0.31 0.11 0.55 10 4.9 3.1 5.0 1.8 3.00 0.974 1.97 0.00 1.40 482 135 2.21e+04 61.8 149 22.6 4.62 47.3 9.00e-06 6.88 2.81e+03 694 9.66e+05 242 983
488.01432930868197 63 6.640936059074999 24.6704852722873 38.0 15 15 15 5.2 0.28 0.53 0.088 0.73 8.0 4.6 3.4 5.0 1.9 3.00 0.984 1.79 0.00 1.34 472 83.1 1.69e+04 8.32 130 25.6 4.52 53.8 0.00334 7.33 3.32e+03 448 7.09e+05 58.8 842
538.0437381666393 64 13.677471248909015 20.153716294940097 38.0 14 14 14 6.1 0.31 0.64 0.072 0.80 10 5.0 5.1 5.0 2.3 3.00 0.984 1.76 0.00 1.33 497 63.7 1.15e+04 6.81 107 25.7 3.50 41.3 0.00916 6.43 2.09e+03 257 2.38e+05 41.0 488
224.37521669520262 35 11.32425566003476 30.863048874640025 23.0 9.0 9.0 9.0 3.4 0.29 0.35 0.089 0.59 12 5.3 6.7 5.0 2.6 3.00 0.971 1.97 0.00 1.40 482 174 2.29e+04 126 151 22.6 4.80 49.7 0.00119 7.05 3.50e+03 756 1.16e+06 257 1.08e+03
274.0255097236477 41 11.627175544522764 25.946134002860024 27.0 11 11 11 12 0.49 3.3 0.10 1.8 10 5.1 6.4 5.0 2.5 3.00 0.976 1.97 0.00 1.41 499 138 2.53e+04 55.5 159 23.0 4.52 46.5 0.00161 6.82 3.62e+03 777 1.32e+06 235 1.15e+03
202.00305783574026 32 12.257076735912625 30.6471390563971 21.0 9.0 9.0 9.0 2.8 0.25 0.25 0.11 0.50 10 5.4 4.6 6.0 2.2 3.00 0.969 1.97 0.00 1.40 473 147 2.15e+04 121 146 22.1 4.95 50.1 0.00523 7.08 2.61e+03 598 6.69e+05 179 818
274.01509615377233 41 11.904214629568427 31.16658126657039 27.0 11 11 11 4.9 0.31 0.60 0.10 0.77 7.0 4.0 2.4 4.0 1.6 3.00 0.976 1.97 0.00 1.41 459 104 1.80e+04 33.4 134 23.0 4.57 47.3 0.00191 6.88 2.73e+03 669 8.10e+05 198 900
248.05056796239927 37 6.852384551233779 30.3883795751003 24.0 11 11 11 3.0 0.28 0.30 0.081 0.55 9.0 4.4 4.5 4.0 2.1 3.00 0.973 1.92 0.00 1.38 449 111 2.24e+04 31.5 150 22.6 4.79 48.1 0.00479 6.94 2.65e+03 533 6.00e+05 244 775
148.0705775902373 23 12.008345193135192 27.057596149792356 15.0 8.0 8.0 8.0 1.9 0.27 0.19 0.099 0.44 8.0 4.5 3.6 5.0 1.9 3.00 0.957 1.95 0.00 1.40 460 177 3.09e+04 179 176 20.9 5.56 56.3 0.000609 7.50 2.72e+03 768 9.17e+05 282 958
590.0147216488165 66 8.486305620452159 31.328564096858212 43.0 9.0 9.0 9.0 5.5 0.33 0.65 0.095 0.81 13 6.8 7.1 7.0 2.7 3.00 0.985 1.95 0.00 1.40 477 109 1.66e+04 46.0 129 25.3 3.15 37.0 7.28e-05 6.08 3.27e+03 458 7.52e+05 118 867
164.1191797409213 26 10.309597431132143 29.258658011669716 17.0 7.0 7.0 7.0 9.9 0.57 3.8 0.10 2.0 10 5.0 6.0 4.0 2.4 3.00 0.962 1.96 0.00 1.40 458 204 2.71e+04 200 165 21.5 5.39 55.3 0.000644 7.44 3.33e+03 855 1.17e+06 300 1.08e+03
302.00638982400307 44 5.798978676356449 30.14899012595896 29.0 11 11 11 17 0.60 6.5 0.099 2.6 10 5.4 5.0 5.0 2.2 3.00 0.977 1.98 0.00 1.41 478 122 1.78e+04 85.6 133 23.4 4.35 45.5 0.00226 6.74 2.61e+03 517 6.32e+05 130 795
398.00928325251164 53 9.273731703851423 27.598001368698927 35.0 12 12 12 4.9 0.28 0.54 0.084 0.73 9.0 5.1 4.6 5.0 2.2 3.00 0.981 1.98 0.00 1.41 467 108 1.65e+04 50.9 128 24.1 4.63 46.7 0.000783 6.84 2.92e+03 480 6.66e+05 109 816
202.22679115984243 32 6.581078059096221 21.959880461134183 21.0 10 10 10 3.5 0.27 0.39 0.089 0.62 7.0 3.4 2.5 3.0 1.6 3.00 0.969 1.97 0.00 1.40 469 109 2.25e+04 20.3 150 22.1 4.94 50.6 0.00394 7.11 2.03e+03 432 4.13e+05 130 643
332.03218239689306 43 5.78911593240303 25.729310132168674 27.0 11 11 11 17 0.69 7.5 0.082 2.7 11 5.2 7.0 4.0 2.7 3.00 0.977 1.88 0.00 1.37 450 121 2.26e+04 44.8 150 23.8 4.64 47.1 0.00204 6.86 2.93e+03 478 6.39e+05 147 799
224.00757744637536 35 13.89310419450097 28.757786452243167 23.0 9.0 9.0 9.0 2.9 0.31 0.33 0.075 0.58 11 5.1 4.8 5.0 2.2 3.00 0.971 1.97 0.00 1.40 483 154 2.37e+04 118 154 22.6 4.81 49.9 0.000369 7.06 3.24e+03 898 1.42e+06 248 1.19e+03
164.34840956682186 26 12.433896081881755 29.957459160575404 17.0 8.0 8.0 8.0 2.4 0.28 0.25 0.12 0.50 7.0 3.8 2.4 3.5 1.6 3.00 0.962 1.96 0.00 1.40 451 139 2.09e+04 76.4 145 21.5 5.39 54.0 0.00829 7.35 2.39e+03 624 6.02e+05 255 776
248.11419460889107 38 9.396930064919141 29.763430590594634 25.0 8.0 8.0 8.0 3.2 0.25 0.27 0.075 0.52 12 5.8 8.8 6.0 3.0 3.00 0.974 1.97 0.00 1.40 479 161 1.87e+04 140 137 22.6 4.67 47.8 0.000570 6.91 3.54e+03 898 1.47e+06 226 1.21e+03
322.0140453694173 40 14.071557983560904 32.54422380575008 25.0 12 12 12 6.1 0.47 1.8 0.086 1.3 8.0 3.9 2.4 4.0 1.5 3.00 0.975 1.87 0.00 1.37 404 76.4 1.37e+04 17.5 117 24.1 3.49 50.9 4.70e-05 7.13 1.46e+03 220 1.65e+05 19.8 406
398.0126145908432 51 9.135902725703232 30.182450789385822 33.0 14 14 14 4.4 0.26 0.40 0.10 0.63 11 4.8 5.1 4.0 2.3 3.00 0.980 1.94 0.00 1.39 494 77.9 1.29e+04 24.1 113 24.1 3.34 43.0 0.00280 6.55 1.89e+03 294 2.63e+05 67.1 513
224.00482754290243 35 6.713054170788387 25.892573912231775 23.0 8.0 8.0 8.0 11 0.48 3.4 0.076 1.8 12 5.9 7.7 6.0 2.8 3.00 0.971 1.97 0.00 1.40 495 138 2.56e+04 46.2 160 22.6 4.40 49.7 0.000476 7.05 2.63e+03 572 7.41e+05 212 861
224.01658950964188 35 7.811113189806502 32.23255227337193 23.0 8.0 8.0 8.0 5.0 0.34 0.84 0.084 0.92 11 5.4 7.8 5.0 2.8 3.00 0.971 1.97 0.00 1.40 476 168 2.45e+04 128 157 22.6 4.80 49.8 0.000189 7.05 3.42e+03 753 1.07e+06 256 1.03e+03
224.03193101302662 35 6.981384252836265 28.85675538249301 23.0 9.0 9.0 9.0 33 1.1 32 0.079 5.7 8.0 3.9 2.5 4.0 1.6 3.00 0.971 1.97 0.00 1.40 469 120 1.96e+04 49.7 140 22.6 4.81 49.8 0.000925 7.06 2.33e+03 619 6.94e+05 129 833
202.51485847478193 32 9.217086580416746 28.72939346894767 21.0 9.0 9.0 9.0 2.8 0.24 0.26 0.097 0.51 8.0 4.6 3.7 5.0 1.9 3.00 0.969 1.97 0.00 1.40 482 142 2.34e+04 89.1 153 22.1 4.95 50.7 0.00377 7.12 2.56e+03 578 6.65e+05 228 815
332.0165912164054 47 7.298267776041721 29.50943854500835 31.0 12 12 12 3.8 0.30 0.40 0.089 0.63 9.0 4.9 3.9 5.0 2.0 3.00 0.979 1.98 0.00 1.41 494 129 2.12e+04 68.2 146 23.8 4.24 44.8 0.00173 6.69 3.23e+03 622 8.95e+05 154 946
112.1311213659146 12 18.79904325281392 2.950638123046373 7.0 5.0 5.0 5.0 1.0 0.22 0.082 0.083 0.29 6.0 3.2 3.1 3.0 1.7 3.00 0.917 1.72 0.00 1.31 0.102 0.100 2.88e-07 0.100 0.000537 20.9 5.52 49.4 2.36 7.03 0.181 0.109 0.00116 0.100 0.0340
202.2098351386816 32 9.85759020787501 26.623039828184517 21.0 9.0 9.0 9.0 9.0 0.46 2.6 0.077 1.6 7.0 3.9 2.1 4.0 1.5 3.00 0.969 1.97 0.00 1.40 480 129 2.17e+04 72.2 147 22.1 4.95 50.8 0.00107 7.13 2.34e+03 567 6.04e+05 230 777
434.0254189931942 56 14.94671446691064 29.271398225404436 37.0 10 10 10 63 1.4 72 0.10 8.5 11 5.8 5.1 6.0 2.3 3.00 0.982 1.98 0.00 1.41 493 117 1.89e+04 61.7 138 24.4 4.05 42.2 0.000189 6.50 3.67e+03 795 1.47e+06 184 1.21e+03
346.2747056966577 35 11.066337206191118 5.748180107156605 14.0 8.0 8.0 8.0 3.3 0.36 0.58 0.13 0.76 9.0 4.7 4.8 5.0 2.2 3.00 0.971 1.09 1.00 1.04 0.190 0.104 0.000235 0.100 0.0153 25.9 3.30 33.1 1.21 5.75 0.163 0.0800 0.000978 0.0896 0.0313
472.0298133136554 59 9.612613567554828 26.91486341088365 39.0 9.0 9.0 9.0 6.2 0.33 0.72 0.086 0.85 12 6.8 7.3 7.0 2.7 3.00 0.983 1.98 0.00 1.41 461 121 1.92e+04 78.2 139 24.6 5.29 56.3 0.000186 7.51 3.89e+03 855 1.52e+06 160 1.23e+03
248.02262328526152 38 10.63495564248384 29.773125123297326 25.0 8.0 8.0 8.0 6.9 0.35 1.3 0.10 1.1 9.0 4.8 4.1 4.5 2.0 3.00 0.974 1.97 0.00 1.40 483 141 1.88e+04 104 137 22.6 4.69 48.1 0.000225 6.94 3.14e+03 660 8.37e+05 204 915
652.0110269358954 72 8.890136273055608 28.53821300146 47.0 12 12 12 7.8 0.31 0.98 0.087 0.99 11 6.3 7.4 6.0 2.7 3.00 0.986 1.96 0.00 1.40 486 106 1.71e+04 57.9 131 25.6 4.75 53.4 4.62e-10 7.31 3.39e+03 619 9.87e+05 102 994
248.01605339484126 38 10.436551876870956 29.960985214794494 25.0 8.0 8.0 8.0 4.1 0.27 0.46 0.092 0.68 11 5.7 8.0 5.5 2.8 3.00 0.974 1.97 0.00 1.40 470 178 2.07e+04 184 144 22.6 4.67 47.8 1.01e-05 6.92 3.90e+03 822 1.30e+06 220 1.14e+03
112.5817471611478 12 20.31020342166308 6.20168370776562 7.0 5.0 5.0 5.0 1.1 0.22 0.088 0.11 0.30 7.0 3.7 4.2 4.0 2.1 3.00 0.917 1.72 0.00 1.31 0.102 0.100 6.30e-07 0.100 0.000793 20.9 5.52 49.4 2.37 7.03 0.181 0.109 0.00115 0.100 0.0339
248.01942122710952 38 9.686934569251964 28.217617399362886 25.0 8.0 8.0 8.0 21 0.80 12 0.10 3.5 11 6.3 8.9 5.5 3.0 3.00 0.974 1.97 0.00 1.40 447 192 2.88e+04 178 170 22.6 4.66 47.8 0.000772 6.91 4.48e+03 990 1.99e+06 328 1.41e+03
164.01479498376415 26 10.346811116558408 26.753198216415356 17.0 9.0 9.0 9.0 2.2 0.24 0.19 0.090 0.43 7.0 4.0 2.9 4.5 1.7 3.00 0.962 1.96 0.00 1.40 490 161 2.68e+04 130 164 21.5 5.38 55.1 0.000909 7.42 2.67e+03 740 8.88e+05 268 942
430.1243130129611 52 10.20464177555377 27.942307241121185 33.0 13 13 13 14 0.50 3.9 0.11 2.0 8.0 4.3 2.5 4.0 1.6 3.00 0.981 1.90 0.00 1.38 490 86.6 1.40e+04 21.6 118 24.6 3.35 45.2 0.00183 6.72 2.27e+03 315 3.33e+05 95.1 577
202.1812219991631 32 5.886482407758126 23.911094687949486 21.0 10 10 10 2.9 0.25 0.26 0.099 0.51 7.0 3.9 3.3 4.0 1.8 3.00 0.969 1.97 0.00 1.40 474 120 2.38e+04 39.3 154 22.1 4.93 50.5 0.00501 7.11 2.30e+03 449 4.54e+05 162 674
274.0064820926938 41 11.34166547825858 33.00321594283808 27.0 8.0 8.0 8.0 4.2 0.28 0.45 0.10 0.67 10 6.0 5.2 6.0 2.3 3.00 0.976 1.97 0.00 1.41 483 177 2.21e+04 156 149 23.0 4.58 47.5 2.82e-07 6.89 4.44e+03 950 1.73e+06 198 1.32e+03
182.00811704078296 29 15.025114866041596 23.50464735880778 19.0 9.0 9.0 9.0 2.6 0.25 0.27 0.083 0.52 9.0 4.2 3.2 4.0 1.8 3.00 0.966 1.96 0.00 1.40 460 143 2.91e+04 14.1 171 21.5 5.09 51.5 0.00679 7.18 2.85e+03 650 8.56e+05 279 925
112.47403074592984 12 -0.396988219779898 8.415841856760702 7.0 4.0 4.0 4.0 10 1.1 9.0 0.12 3.0 8.0 3.8 4.0 4.0 2.0 3.00 0.917 1.72 0.00 1.31 0.106 0.101 3.00e-06 0.100 0.00173 20.9 5.53 49.4 2.38 7.03 0.182 0.110 0.00114 0.100 0.0337
580.089102884026 70 12.743151372275632 16.426391581321067 35.0 15 15 15 9.6 0.33 1.5 0.088 1.2 13 5.2 8.9 5.0 3.0 3.00 0.986 1.46 0.500 1.21 478 98.5 2.47e+04 0.114 157 26.6 3.20 42.6 0.000582 6.52 4.36e+03 531 1.23e+06 5.66 1.11e+03
224.1018341429605 35 10.959149943405667 28.584594049012367 23.0 11 11 11 3.2 0.29 0.34 0.097 0.58 7.0 4.3 2.9 4.0 1.7 3.00 0.971 1.97 0.00 1.40 445 123 2.19e+04 36.3 148 22.6 4.81 49.9 0.00226 7.06 2.69e+03 536 5.96e+05 189 772
298.24573352231084 41 13.614960809953201 26.717045885655587 26.0 9.0 9.0 9.0 4.1 0.32 0.50 0.089 0.71 10 5.1 5.4 5.0 2.3 3.00 0.976 1.87 0.00 1.37 471 128 2.33e+04 45.0 153 23.8 3.50 41.3 0.00510 6.42 3.23e+03 484 5.42e+05 210 736
134.0530523736387 20 8.48232184278491 26.59775375411844 13.0 7.0 7.0 7.0 9.2 0.68 4.3 0.14 2.1 7.0 4.2 3.0 4.0 1.7 3.00 0.950 1.94 0.00 1.39 492 166 2.78e+04 90.5 167 20.9 5.93 60.8 0.0298 7.80 2.21e+03 647 5.83e+05 330 763
182.06091258938943 29 12.447972738358638 25.486435931792123 19.0 7.0 7.0 7.0 2.9 0.29 0.33 0.092 0.57 8.0 4.3 2.7 4.0 1.6 3.00 0.966 1.96 0.00 1.40 473 92.4 1.65e+04 41.0 129 21.5 5.06 51.0 0.0264 7.14 1.43e+03 276 1.85e+05 76.7 430
364.02000756402504 50 8.729647562354863 32.82279857994777 33.0 10 10 10 4.4 0.26 0.45 0.087 0.67 9.0 5.2 4.9 6.0 2.2 3.00 0.980 1.98 0.00 1.41 482 109 1.50e+04 62.2 123 24.1 4.18 44.4 0.000775 6.66 2.85e+03 501 5.85e+05 141 765
798.0003430622594 76 11.19410732904416 30.213080187017106 49.0 12 12 12 9.3 0.33 1.3 0.078 1.1 13 5.5 8.5 5.0 2.9 3.00 0.987 1.93 0.00 1.39 446 79.9 1.31e+04 24.8 114 26.0 4.09 51.0 1.49e-10 7.14 3.15e+03 354 4.99e+05 45.2 707
436.0131458434675 59 13.664840925569306 19.924615999159588 34.0 13 13 13 5.4 0.27 0.56 0.059 0.75 10 4.5 4.1 4.0 2.0 3.00 0.983 1.71 0.00 1.31 449 97.6 2.16e+04 6.22 147 25.7 3.72 45.6 0.00155 6.76 3.45e+03 557 9.63e+05 51.1 981
586.0032033016234 62 9.222319767697575 11.93633529748857 25.0 16 16 16 5.5 0.31 0.62 0.11 0.79 8.0 4.4 3.0 4.5 1.7 3.00 0.984 1.16 1.00 1.08 487 54.3 1.33e+04 0.100 115 26.7 3.35 47.4 0.00171 6.89 2.19e+03 242 3.03e+05 0.100 550
224.0099683848213 35 11.174120919420286 27.3216771835936 23.0 9.0 9.0 9.0 3.9 0.32 0.44 0.12 0.66 9.0 4.8 3.9 5.0 2.0 3.00 0.971 1.97 0.00 1.40 436 117 1.70e+04 48.2 130 22.6 3.98 50.1 0.00180 7.08 2.26e+03 437 4.53e+05 158 673
302.03076290445824 42 13.483138647781683 25.782022933250005 27.0 11 11 11 3.5 0.27 0.31 0.11 0.56 9.0 4.5 4.4 4.0 2.1 3.00 0.976 1.93 0.00 1.39 498 129 2.39e+04 61.3 155 23.4 4.59 47.1 0.00342 6.86 3.08e+03 599 8.83e+05 159 940
434.0881312899017 51 5.17420867253595 14.715581227174004 25.0 15 15 15 4.1 0.27 0.35 0.082 0.59 9.0 4.3 4.3 4.0 2.1 3.00 0.980 1.42 1.00 1.19 479 87.9 2.10e+04 0.102 145 26.1 3.97 52.3 0.00155 7.23 2.83e+03 364 5.38e+05 6.61 734
274.002038306511 41 9.551040058428521 27.505829607538267 27.0 10 10 10 5.0 0.35 0.75 0.082 0.86 10 5.0 5.1 5.0 2.3 3.00 0.976 1.97 0.00 1.41 484 100 1.44e+04 57.3 120 23.0 4.55 47.1 0.00201 6.86 2.33e+03 468 4.38e+05 117 662
302.011694625845 44 8.409867834145352 28.010818286281587 29.0 8.0 8.0 8.0 3.8 0.25 0.34 0.088 0.58 12 5.7 8.1 6.0 2.8 3.00 0.977 1.98 0.00 1.41 404 116 1.50e+04 85.0 123 23.4 4.45 46.3 0.00105 6.81 2.94e+03 525 6.34e+05 162 796
224.20922701070145 35 9.249562155292484 29.36380098009166 23.0 10 10 10 11 0.50 3.2 0.13 1.8 6.0 3.7 2.1 4.0 1.4 3.00 0.971 1.97 0.00 1.40 437 94.9 1.73e+04 28.9 132 22.6 4.80 49.6 0.00162 7.05 1.92e+03 386 3.57e+05 162 598
302.021100880788 44 10.812214913903196 23.43379984469755 29.0 9.0 9.0 9.0 3.9 0.33 0.48 0.10 0.69 10 5.5 3.5 6.0 1.9 3.00 0.977 1.98 0.00 1.41 416 86.4 1.61e+04 7.48 127 23.4 4.38 45.7 0.00336 6.76 2.14e+03 386 4.05e+05 152 636
182.04296718981408 29 10.279834741739988 28.74032462199136 19.0 9.0 9.0 9.0 3.3 0.31 0.44 0.088 0.67 9.0 4.8 5.4 4.0 2.3 3.00 0.966 1.96 0.00 1.40 497 154 1.90e+04 126 138 21.5 5.09 50.8 0.0102 7.13 2.68e+03 723 8.44e+05 273 919
274.01428328867985 40 13.064899240953599 24.823573193734276 26.0 11 11 11 20 0.77 11 0.11 3.3 7.0 4.3 2.2 4.0 1.5 3.00 0.975 1.92 0.00 1.39 472 114 2.03e+04 49.5 142 23.0 4.59 47.0 0.00265 6.86 2.46e+03 482 5.67e+05 127 753
