time nodes network-hub-xCoord network-hub-yCoord number-of-leaves network-density network-diameter[max] network-diameter[mean] network-diameter[median] nodes-degree[max] nodes-degree[mean] nodes-degree[variance] nodes-degree[median] nodes-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation]
224.03193101302662 35 6.981384252836265 28.85675538249301 23.0 0.04254137691519285 9.0 9.0 9.0 8.0 3.9 2.5 4.0 1.6 3.00 0.971 1.97 0.00 1.40 469 120 1.96e+04 49.7 140 22.6 4.81 49.8 0.000925 7.06 2.33e+03 619 6.94e+05 129 833
182.01278341801202 29 6.027671475641862 24.953854405089903 19.0 0.037554384043483914 10 10 10 7.0 4.1 2.8 4.0 1.7 3.00 0.966 1.96 0.00 1.40 480 130 2.83e+04 37.4 168 21.5 5.09 51.5 0.00313 7.18 2.47e+03 547 6.17e+05 219 785
182.01120854484617 29 9.359801209740805 28.07115986741452 19.0 0.053048189852585956 8.0 8.0 8.0 8.0 4.1 4.4 4.0 2.1 3.00 0.966 1.96 0.00 1.40 482 167 2.70e+04 103 164 21.5 5.09 51.5 0.000747 7.17 2.87e+03 720 8.82e+05 252 939
274.0255097236477 41 11.627175544522764 25.946134002860024 27.0 0.058869533791564135 11 11 11 10 5.1 6.4 5.0 2.5 3.00 0.976 1.97 0.00 1.41 499 138 2.53e+04 55.5 159 23.0 4.52 46.5 0.00161 6.82 3.62e+03 777 1.32e+06 235 1.15e+03
224.0099683848213 35 11.174120919420286 27.3216771835936 23.0 0.052780975012984205 9.0 9.0 9.0 9.0 4.8 3.9 5.0 2.0 3.00 0.971 1.97 0.00 1.40 436 117 1.70e+04 48.2 130 22.6 3.98 50.1 0.00180 7.08 2.26e+03 437 4.53e+05 158 673
224.03259778147134 35 14.353367360346404 24.258139723811755 23.0 0.04328016453142404 9.0 9.0 9.0 8.0 4.3 3.4 4.0 1.8 3.00 0.971 1.97 0.00 1.40 498 144 2.90e+04 81.1 170 22.6 4.81 49.7 0.00308 7.05 3.31e+03 738 1.15e+06 216 1.07e+03
112.34039148045233 12 3.7450776426190315 3.777861047444142 7.0 0.061638511165337445 5.0 5.0 5.0 6.0 3.5 2.5 4.0 1.6 3.00 0.917 1.72 0.00 1.31 0.102 0.100 3.61e-07 0.100 0.000601 20.9 5.52 49.4 2.37 7.03 0.181 0.109 0.00115 0.100 0.0339
364.0159846143164 50 9.474794679951286 28.541904151625452 33.0 0.04198916578433518 12 12 12 9.0 4.6 3.2 4.5 1.8 3.00 0.980 1.98 0.00 1.41 486 96.8 1.50e+04 47.6 123 24.1 4.17 44.1 0.00516 6.64 2.75e+03 457 5.72e+05 128 756
202.39207627248362 32 13.104389275318702 27.925135711394095 21.0 0.04792891508528302 8.0 8.0 8.0 7.0 4.4 2.6 4.0 1.6 3.00 0.969 1.97 0.00 1.40 493 103 1.73e+04 53.2 132 22.1 4.94 50.4 0.00234 7.10 1.75e+03 370 3.02e+05 110 550
202.04143041347163 32 13.068588124624856 28.810248453964373 21.0 0.04548689233368776 9.0 9.0 9.0 9.0 4.2 4.0 4.0 2.0 3.00 0.969 1.97 0.00 1.40 469 153 2.32e+04 119 152 22.1 4.95 50.7 0.00171 7.12 2.82e+03 686 8.32e+05 270 912
472.02175015303885 57 12.467302307970819 26.54369913994821 37.0 0.05152769697974588 13 13 13 11 5.0 4.4 5.0 2.1 3.00 0.982 1.95 0.00 1.40 483 117 2.04e+04 55.9 143 24.6 4.82 48.6 0.00110 6.97 3.72e+03 719 1.30e+06 133 1.14e+03
