time nodes network-hub-xCoord network-hub-yCoord number-of-leaves network-diameter[max] network-diameter[mean] network-diameter[median] network-density[max] network-density[mean] network-density[variance] network-density[median] network-density[StandardDeviation] nodes-degree[max] nodes-degree[mean] nodes-degree[variance] nodes-degree[median] nodes-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] local-resource[max] local-resource[mean] local-resource[variance] local-resource[median] local-resource[StandardDeviation]
106.41153833171151 44 13.012958546240924 20.193450977150846 21.0 9.0 9.0 9.0 4.5 0.24 0.46 0.080 0.68 10 5.0 6.3 5.0 2.5 6.00 0.977 1.74 1.00 1.32 137 18.7 1.21e+03 0.320 34.8 54.9 5.94 137 0.501 11.7 821 122 3.64e+04 7.24 191 298 22.8 2.95e+03 0.621 54.3
110.57116452328478 50 12.191850112772899 17.140158765636514 25.0 10 10 10 8.2 0.37 1.4 0.096 1.2 10 5.0 3.8 5.0 2.0 7.00 0.980 1.94 0.500 1.39 132 13.6 976 0.0181 31.2 78.5 5.32 197 0.0359 14.0 681 89.0 3.20e+04 0.337 179 298 19.7 3.12e+03 0.0833 55.8
108.47447124306333 39 9.772758367054674 22.117200375559612 22.0 9.0 9.0 9.0 8.0 0.46 2.0 0.10 1.4 10 5.0 7.3 5.0 2.7 4.00 0.974 1.71 0.00 1.31 132 20.7 1.26e+03 3.40 35.5 47.6 6.28 130 0.863 11.4 808 132 5.72e+04 6.94 239 298 27.6 4.34e+03 1.11 65.9
114.10524592495645 41 11.908643472698762 21.167961921231413 20.0 9.0 9.0 9.0 3.5 0.21 0.30 0.079 0.55 9.0 5.0 5.5 5.0 2.3 6.00 0.976 1.72 1.00 1.31 130 19.3 1.13e+03 0.499 33.5 63.5 6.39 183 0.489 13.5 793 123 5.51e+04 4.05 235 298 26.1 4.50e+03 1.30 67.1
106.09176969812286 33 11.547217295228648 23.129286341769877 16.0 9.0 9.0 9.0 4.3 0.30 0.63 0.079 0.80 8.0 4.1 2.6 4.0 1.6 4.00 0.970 1.34 1.00 1.16 126 28.9 1.50e+03 6.70 38.8 79.5 7.45 270 3.02 16.4 953 198 9.30e+04 63.0 305 298 29.8 4.83e+03 3.12 69.5
110.01230198243381 38 10.864036545123062 22.996958803653047 20.0 8.0 8.0 8.0 6.3 0.33 1.1 0.068 1.1 8.0 4.4 3.8 4.0 2.0 4.00 0.974 1.65 0.00 1.28 131 22.0 1.20e+03 3.27 34.6 62.2 6.45 168 1.60 13.0 836 143 5.75e+04 19.6 240 298 27.2 4.43e+03 3.10 66.5
110.05134212782653 46 9.555823315973415 20.174470215264044 23.0 9.0 9.0 9.0 5.4 0.30 0.76 0.054 0.87 8.0 4.3 4.9 4.0 2.2 6.00 0.978 1.67 0.500 1.29 119 15.6 968 0.464 31.1 57.7 5.68 162 0.601 12.7 716 99.7 3.75e+04 8.51 194 298 22.7 3.49e+03 1.10 59.1
106.00135473950749 36 7.599595157204051 19.99854219062621 15.0 9.0 9.0 9.0 4.6 0.26 0.59 0.076 0.77 8.0 4.6 4.9 5.0 2.2 5.00 0.972 1.28 1.00 1.13 124 20.9 1.28e+03 0.237 35.7 81.0 7.10 272 0.613 16.5 754 141 6.25e+04 16.8 250 298 27.7 4.70e+03 2.06 68.6
106.02938497092521 35 10.47712140591608 23.875023571340478 18.0 9.0 9.0 9.0 2.9 0.23 0.28 0.065 0.53 8.0 4.3 4.0 5.0 2.0 4.00 0.971 1.44 0.00 1.20 137 32.3 1.92e+03 10.2 43.8 44.7 6.58 136 1.85 11.7 1.13e+03 214 1.32e+05 35.4 363 298 30.1 4.79e+03 2.38 69.2
108.63925011151147 37 10.767759546619875 23.63433807106783 18.0 9.0 9.0 9.0 4.6 0.28 0.57 0.083 0.76 9.0 4.9 7.1 4.0 2.7 4.00 0.973 1.47 1.00 1.21 137 21.4 971 6.61 31.2 47.7 6.63 118 2.18 10.9 792 131 4.69e+04 30.9 216 298 28.0 4.32e+03 2.76 65.7
106.01145543155795 41 11.682192710380109 22.011156028477274 20.0 8.0 8.0 8.0 3.3 0.25 0.30 0.099 0.55 10 5.1 4.7 5.0 2.2 5.00 0.976 1.62 1.00 1.27 126 22.6 1.23e+03 2.74 35.0 65.5 6.21 134 2.65 11.6 926 137 5.34e+04 55.9 231 298 24.6 3.39e+03 3.10 58.2
114.00917403895612 48 9.770556081882402 20.4529850100081 23.0 9.0 9.0 9.0 34 0.87 24 0.094 4.9 13 6.0 8.8 6.0 3.0 6.00 0.979 1.72 1.00 1.31 120 15.6 940 0.764 30.7 49.2 5.44 140 0.679 11.8 750 103 3.73e+04 11.3 193 298 21.8 3.48e+03 1.50 59.0
106.0020634894139 41 10.749298642471176 17.86776956440502 19.0 9.0 9.0 9.0 3.6 0.23 0.37 0.057 0.61 10 4.7 6.9 4.0 2.6 5.00 0.976 1.57 1.00 1.25 120 11.7 835 0.0750 28.9 91.0 6.21 314 0.196 17.7 478 80.3 2.68e+04 2.12 164 298 23.5 4.31e+03 0.397 65.7
106.03802421631983 42 9.759861522394662 22.849758986682872 22.0 8.0 8.0 8.0 4.0 0.28 0.41 0.13 0.64 10 5.8 6.0 6.0 2.4 6.00 0.976 2.02 0.00 1.42 123 26.0 1.48e+03 5.56 38.5 47.5 6.06 107 1.81 10.3 1.09e+03 163 9.11e+04 35.7 302 298 27.0 4.24e+03 3.06 65.1
124.1297194032059 49 7.5713790267622425 22.268797642662673 25.0 9.0 9.0 9.0 12 0.37 2.9 0.068 1.7 8.0 4.7 4.3 5.0 2.1 5.00 0.980 1.69 0.00 1.30 129 20.3 1.32e+03 2.12 36.3 36.2 5.18 77.8 0.733 8.82 996 128 4.33e+04 14.5 208 298 20.9 2.60e+03 1.18 51.0
110.25498562678062 38 11.141999945447637 22.639318473644575 16.0 9.0 9.0 9.0 3.1 0.24 0.29 0.098 0.54 9.0 5.1 5.5 5.0 2.3 6.00 0.974 1.65 1.00 1.28 123 22.3 1.12e+03 6.37 33.4 56.9 6.91 133 2.35 11.5 849 141 4.26e+04 46.6 206 298 25.8 3.36e+03 3.74 58.0
110.30915168819176 52 12.227732934067662 19.814988465543916 25.0 10 10 10 5.4 0.27 0.68 0.071 0.82 9.0 4.8 5.1 5.0 2.2 5.00 0.981 1.67 1.00 1.29 125 9.75 631 0.159 25.1 57.4 4.68 107 0.260 10.3 507 63.3 1.52e+04 2.51 123 298 18.5 2.55e+03 0.591 50.5
108.00572313950613 38 10.333850178852831 23.10305853832785 19.0 10 10 10 3.9 0.22 0.42 0.060 0.64 9.0 4.7 5.1 5.0 2.3 5.00 0.974 1.86 0.500 1.37 130 28.3 1.79e+03 4.84 42.3 74.5 6.72 202 1.39 14.2 1.08e+03 179 6.84e+04 25.1 262 298 24.2 3.17e+03 1.58 56.3
106.129581087952 42 7.013960529876109 22.40160835766511 19.0 9.0 9.0 9.0 72 2.0 1.3e+02 0.069 11 9.0 4.9 5.8 4.5 2.4 4.00 0.976 1.39 1.00 1.18 127 22.7 1.29e+03 3.48 36.0 59.2 5.82 135 1.84 11.6 955 148 7.70e+04 27.1 278 298 25.3 4.07e+03 2.04 63.8
120.32796976474002 66 9.101428590671148 18.04755691159683 31.0 9.0 9.0 9.0 6.7 0.31 0.86 0.089 0.93 10 5.1 4.0 5.0 2.0 7.00 0.985 1.86 1.00 1.36 128 11.3 663 0.0497 25.7 54.1 4.01 82.8 0.0370 9.10 745 70.2 1.80e+04 0.402 134 298 15.2 1.97e+03 0.0739 44.4
