time nodes network-hub-xCoord network-hub-yCoord network-diameter[max] network-diameter[mean] network-diameter[median] network-density[max] network-density[mean] network-density[variance] network-density[median] network-density[StandardDeviation] nodes-degree[max] nodes-degree[mean] nodes-degree[variance] nodes-degree[median] nodes-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation]
1000.0 36 18.34780890511754 0.8816806601984576 9.0 9.0 9.0 4.3 0.33 0.60 0.10 0.78 8.0 4.9 5.1 4.5 2.3 3.00 0.972 0.999 1.00 1.00 0.102 0.100 2.39e-07 0.100 0.000489 27.0 3.39 36.0 1.20 6.00 0.163 0.0712 0.00121 0.0688 0.0347
1000.0 32 10.693024757022187 31.015464968658193 9.0 9.0 9.0 8.4 0.44 2.2 0.11 1.5 9.0 4.4 3.9 4.0 2.0 3.00 0.969 1.97 0.00 1.40 470 151 1.94e+04 132 139 26.9 6.02 75.2 0.000897 8.67 2.83e+03 683 8.13e+05 244 901
194.0 38 7.330372583737913 28.245389451487725 8.0 8.0 8.0 3.7 0.30 0.40 0.088 0.63 9.0 4.9 4.1 5.0 2.0 3.00 0.974 1.97 0.00 1.40 453 124 1.66e+04 84.9 129 5.80e+70 1.53e+69 8.86e+139 21.8 9.41e+69 2.51e+03 503 5.45e+05 155 738
1000.0 29 3.922265342947949 22.799149691350067 9.0 9.0 9.0 2.4 0.23 0.21 0.088 0.46 8.0 4.1 3.6 4.0 1.9 3.00 0.966 1.96 0.00 1.40 460 128 3.03e+04 7.39 174 26.9 6.36 80.2 0.00601 8.96 2.49e+03 530 6.07e+05 181 779
1000.0 26 10.493237846386025 29.505616367833838 8.0 8.0 8.0 2.1 0.24 0.18 0.099 0.43 8.0 4.0 3.8 4.0 2.0 3.00 0.962 1.96 0.00 1.40 423 160 2.19e+04 148 148 26.9 6.73 86.5 0.00130 9.30 2.62e+03 665 7.32e+05 273 855
482.0 64 4.870531599855185 15.856948223943649 17 17 17 6.6 0.33 0.72 0.12 0.85 12 4.6 4.9 4.0 2.2 3.00 0.984 1.41 1.00 1.19 488 64.4 1.40e+04 0.100 118 5.23e+73 8.18e+71 4.28e+145 0.00387 6.54e+72 2.30e+03 268 3.31e+05 10.1 576
249.0 44 13.785870193407964 26.24165399864618 9.0 9.0 9.0 4.9 0.27 0.56 0.084 0.75 10 5.4 5.4 5.0 2.3 3.00 0.977 1.98 0.00 1.41 417 95.3 1.32e+04 44.6 115 3.53e+19 8.03e+17 2.84e+37 0.000736 5.33e+18 2.17e+03 372 3.96e+05 122 629
249.0 44 10.293970895224529 31.885816219340896 13 13 13 25 0.79 14 0.098 3.7 9.0 4.6 5.7 4.0 2.4 3.00 0.977 1.98 0.00 1.41 417 96.6 1.79e+04 44.7 134 2.92e+69 1.04e+68 2.51e+137 22.8 5.01e+68 2.34e+03 400 4.28e+05 110 654
1000.0 29 9.994638168476204 28.39029092455098 8.0 8.0 8.0 2.3 0.24 0.22 0.092 0.46 7.0 4.3 3.8 4.0 2.0 3.00 0.966 1.96 0.00 1.40 490 155 2.24e+04 125 150 26.9 6.36 80.5 0.00165 8.97 2.67e+03 642 6.97e+05 219 835
1000.0 52 14.913588687198796 1.3940698206690352 12 12 12 4.8 0.26 0.47 0.077 0.69 8.0 3.9 2.8 4.0 1.7 3.00 0.981 0.686 1.00 0.828 0.136 0.101 2.65e-05 0.100 0.00515 27.0 2.74 25.5 1.36 5.05 0.104 0.0499 0.00103 0.0500 0.0322
255.0 42 7.2234688989248435 33.75980086146313 11 11 11 3.5 0.30 0.37 0.13 0.61 11 5.0 5.3 5.0 2.3 3.00 0.976 1.93 0.00 1.39 449 123 2.07e+04 52.0 144 5.96e+73 1.42e+72 8.45e+145 0.00885 9.19e+72 2.91e+03 494 6.73e+05 141 820
