time nodes network-hub-xCoord network-hub-yCoord network-diameter[max] network-diameter[mean] network-diameter[median] network-density[max] network-density[mean] network-density[variance] network-density[median] network-density[StandardDeviation] network-degree[max] network-degree[mean] network-degree[variance] network-degree[median] network-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] local-resource[max] local-resource[mean] local-resource[variance] local-resource[median] local-resource[StandardDeviation]
41.01145111749686 41 -0.3479461040288452 10.488076242819169 9.0 9.0 9.0 4.5 0.27 0.60 0.070 0.77 9.0 5.1 5.5 5.0 2.3 6.00 0.976 1.52 1.00 1.23 371 66.2 1.43e+04 1.25 120 95.9 7.50 338 0.632 18.4 2.71e+03 433 6.39e+05 59.0 799 350 28.3 5.70e+03 1.96 75.5
32.003365450681365 54 0.7064201446509443 6.444585839204076 10 10 10 8.8 0.38 1.5 0.13 1.2 13 6.0 8.6 6.0 2.9 10.0 0.981 2.47 1.00 1.57 423 44.7 9.27e+03 0.00510 96.3 79.5 6.00 280 0.00475 16.7 2.41e+03 300 4.35e+05 0.188 660 350 23.5 5.23e+03 0.0186 72.3
34.42224729628172 43 -0.1332499972281565 14.827620952337059 9.0 9.0 9.0 12 0.43 3.6 0.054 1.9 12 5.2 9.1 5.0 3.0 6.00 0.977 1.74 1.00 1.32 449 118 2.22e+04 50.7 149 97.2 6.94 244 2.92 15.6 5.09e+03 728 1.74e+06 210 1.32e+03 350 28.1 5.34e+03 3.61 73.1
32.11299430357384 47 -3.0163567085980754 10.821979755638356 8.0 8.0 8.0 4.4 0.22 0.42 0.063 0.65 11 4.9 5.9 5.0 2.4 5.00 0.979 1.59 0.00 1.26 450 72.4 1.76e+04 4.50 133 69.9 6.09 197 0.430 14.0 3.40e+03 447 7.94e+05 14.5 891 350 24.8 4.79e+03 0.584 69.2
32.00959002436099 38 -1.3262053157625002 6.384342656512679 7.0 7.0 7.0 6.0 0.37 1.1 0.093 1.1 7.0 4.5 3.6 4.5 1.9 7.00 0.974 1.86 1.00 1.37 391 32.3 6.17e+03 0.133 78.5 150 8.28 733 0.363 27.1 1.23e+03 208 1.54e+05 6.71 393 350 26.2 5.86e+03 0.733 76.6
34.06460426246408 35 -0.9545191438303148 12.165665461481918 9.0 9.0 9.0 3.4 0.25 0.35 0.095 0.59 7.0 4.0 3.0 4.0 1.7 5.00 0.971 1.44 1.00 1.20 479 75.7 1.54e+04 4.96 124 80.7 8.58 314 3.34 17.7 2.65e+03 464 5.71e+05 160 755 350 32.3 5.89e+03 4.25 76.7
45.004079161874714 48 0.14657908417837415 14.600070546986933 9.0 9.0 9.0 9.3 0.34 1.8 0.085 1.4 11 5.7 6.6 6.0 2.6 6.00 0.979 1.72 1.00 1.31 461 105 2.05e+04 22.7 143 80.1 5.96 161 3.15 12.7 5.05e+03 648 1.40e+06 200 1.18e+03 350 24.6 4.14e+03 3.73 64.3
44.274705696657676 42 1.6845691069613453 13.38407475075755 10 10 10 4.0 0.39 0.80 0.080 0.89 8.0 4.6 3.2 5.0 1.8 5.00 0.976 1.44 1.00 1.20 483 100 2.08e+04 15.4 144 55.5 7.11 180 2.15 13.4 4.21e+03 722 1.17e+06 171 1.08e+03 350 28.9 4.48e+03 2.28 66.9
45.009693127016114 52 1.5087778159976644 13.485773672204479 9.0 9.0 9.0 4.2 0.23 0.35 0.098 0.59 9.0 5.0 3.9 5.0 2.0 6.00 0.981 1.67 1.00 1.29 454 86.0 1.57e+04 17.2 125 67.5 5.88 192 1.90 13.9 4.47e+03 587 1.32e+06 88.0 1.15e+03 350 24.2 4.56e+03 2.14 67.6
31.376224334057394 49 1.8363329870237979 8.608547445135843 10 10 10 5.2 0.27 0.58 0.099 0.76 10 4.7 5.6 5.0 2.4 8.00 0.980 2.19 0.00 1.48 488 63.1 1.45e+04 0.227 120 77.7 6.48 289 0.0946 17.0 3.09e+03 444 8.23e+05 3.17 907 350 26.2 5.60e+03 0.181 74.8
38.15071724896778 44 -0.21579268022729223 15.431866997733687 9.0 9.0 9.0 5.6 0.28 0.73 0.092 0.86 9.0 4.9 5.5 5.0 2.3 5.00 0.977 1.46 1.00 1.21 457 114 2.05e+04 62.8 143 43.7 6.10 110 2.43 10.5 5.00e+03 733 1.81e+06 158 1.34e+03 350 28.8 5.23e+03 3.91 72.3
