#####################################################################
# Alchemist log file - simulation started at: 2025-03-05T18:44+0000 #
#####################################################################
#
# seed = 233.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord number-of-leaves network-density network-diameter[max] network-diameter[mean] network-diameter[median] nodes-degree[max] nodes-degree[mean] nodes-degree[variance] nodes-degree[median] nodes-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] local-resource[max] local-resource[mean] local-resource[variance] local-resource[median] local-resource[StandardDeviation] 
0.0 1 10.0 10.0 1.0 Infinity 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.5736643573513978 2 8.361131106350705 8.112115271149023 1.0 0.1616033348475298 1.0 1.0 1.0 1.0 1.0 0.0 1.0 0.0 0.00 0.00 0.00 0.00 0.00 0.00121 0.00121 0.00 0.00121 0.00 NaN NaN NaN NaN NaN 0.00121 0.00121 0.00 0.00121 0.00 272 272 0.00 272 0.00
1.5736643573513978 3 10.02863856410084 9.974555899341405 2.0 0.06042810664304713 2.0 2.0 2.0 2.0 1.3 0.33 1.0 0.58 1.00 0.667 0.333 1.00 0.577 0.00121 0.000809 4.71e-07 0.00121 0.000686 0.00 0.00 0.00 0.00 0.00 0.00122 0.000820 4.84e-07 0.00122 0.000696 272 182 2.47e+04 272 157
2.5736643573513978 6 10.014402387456993 10.486494930205458 3.0 0.043951057490512264 4.0 4.0 4.0 3.0 2.0 0.80 2.0 0.89 2.00 0.667 1.07 0.00 1.03 0.0295 0.00548 0.000139 0.00105 0.0118 9.94e+03 2.52e+03 2.45e+07 68.1 4.95e+03 0.0308 0.0153 0.000271 0.0152 0.0165 9.94e+03 1.77e+03 1.60e+07 204 4.00e+03
3.5736643573513978 9 11.449134385277958 11.308284901225997 4.0 0.04983319841576445 5.0 5.0 5.0 4.0 2.0 1.3 2.0 1.1 3.00 0.556 1.03 0.00 1.01 0.254 0.0522 0.00727 0.00121 0.0853 189 46.3 5.01e+03 0.0515 70.7 0.254 0.0671 0.00754 0.0305 0.0868 272 81.5 1.14e+04 0.103 107
4.573664357351397 13 12.32290708517223 12.296067048995505 6.0 0.05974654635396363 5.0 5.0 5.0 6.0 2.8 2.7 3.0 1.6 3.00 0.615 0.923 0.00 0.961 0.254 0.0485 0.00589 0.00914 0.0767 78.8 17.0 922 0.0990 30.4 0.470 0.110 0.0243 0.0129 0.156 272 45.1 6.83e+03 0.173 82.6
5.573664357351397 18 11.644199707133161 13.794955600003185 9.0 0.046187597481037845 6.0 6.0 6.0 7.0 3.2 4.1 3.0 2.0 3.00 0.667 1.06 0.00 1.03 5.37 0.611 2.04 0.0110 1.43 52.0 11.7 376 0.0760 19.4 5.37 0.673 1.99 0.0485 1.41 272 37.1 5.24e+03 0.114 72.4
6.573664357351397 21 12.054104111547533 14.610921160170822 11.0 0.042074394454399394 6.0 6.0 6.0 7.0 3.6 4.2 3.0 2.1 4.00 0.810 1.36 0.00 1.17 33.9 2.27 54.6 0.0129 7.39 73.9 10.1 375 0.127 19.4 33.9 2.93 53.7 0.135 7.33 272 30.7 4.20e+03 0.254 64.8
7.573664357351397 24 11.98895451723495 15.633617266302066 11.0 0.046528184567403506 6.0 6.0 6.0 8.0 3.8 4.4 4.0 2.1 5.00 0.875 1.68 0.00 1.30 53.9 5.07 169 0.0550 13.0 62.3 8.87 290 0.0473 17.0 53.9 7.84 201 1.50 14.2 272 28.9 4.39e+03 0.0863 66.3
8.573664357351397 28 12.06813773245562 16.68997019912015 13.0 0.04794135559130347 7.0 7.0 7.0 9.0 4.1 5.0 4.0 2.2 5.00 0.821 1.49 0.00 1.22 97.5 8.99 473 0.0918 21.7 50.8 6.77 129 0.0428 11.4 97.5 15.4 570 1.66 23.9 272 26.5 3.41e+03 0.0746 58.4
