#####################################################################
# Alchemist log file - simulation started at: 2025-03-06T15:51+0000 #
#####################################################################
#
# seed = 32.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord number-of-leaves network-density network-diameter nodes-degree[max] nodes-degree[mean] nodes-degree[variance] nodes-degree[median] nodes-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] local-resource[max] local-resource[mean] local-resource[variance] local-resource[median] local-resource[StandardDeviation] 
0.0 1 10.0 10.0 1.0 NaN 0.0 0.0 0.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.6392501115114819 2 10.86046264346177 12.34725457486119 1.0 0.2475584698943861 1.0 1.0 1.0 0.0 1.0 0.0 0.00 0.00 0.00 0.00 0.00 0.00134 0.00134 0.00 0.00134 0.00 NaN NaN NaN NaN NaN 0.00134 0.00134 0.00 0.00134 0.00 262 262 0.00 262 0.00
1.639250111511482 3 9.684715030510807 10.155018294523524 2.0 0.0766171520925542 2.0 2.0 1.3 0.33 1.0 0.58 1.00 0.667 0.333 1.00 0.577 0.0886 0.0304 0.00254 0.00134 0.0504 0.00 0.00 0.00 0.00 0.00 0.0899 0.0894 5.94e-07 0.0899 0.000771 262 175 2.29e+04 262 151
2.639250111511482 6 8.609551066224839 11.706463226045864 3.0 0.04470911417393175 4.0 3.0 2.3 0.67 2.5 0.82 2.00 0.667 1.07 0.00 1.03 3.03 0.520 1.51 0.00134 1.23 133 66.0 5.81e+03 65.5 76.2 3.03 0.550 1.48 0.0892 1.22 262 131 1.37e+04 132 117
3.639250111511482 9 8.227121923612764 13.391864394917974 4.0 0.06655716493692483 4.0 6.0 3.1 2.1 3.0 1.5 3.00 0.556 1.03 0.00 1.01 3.16 0.761 1.77 0.0886 1.33 177 44.0 4.46e+03 0.0116 66.8 3.24 1.46 2.56 0.423 1.60 262 77.9 1.04e+04 0.0233 102
4.6392501115114815 12 9.411862552872298 14.812503819766668 6.0 0.05466121322809322 5.0 6.0 3.3 2.6 3.0 1.6 3.00 0.750 1.11 0.00 1.06 28.3 4.35 80.5 0.104 8.97 64.5 14.6 674 0.000425 26.0 28.3 5.51 76.2 1.86 8.73 262 48.8 7.64e+03 0.120 87.4
5.6392501115114815 15 10.409591948410748 16.73530249705601 7.0 0.04118711800810477 6.0 6.0 3.5 3.6 4.0 1.9 4.00 0.800 1.60 0.00 1.26 80.7 11.4 502 0.423 22.4 45.1 13.6 313 2.55 17.7 80.7 15.4 493 6.71 22.2 262 44.4 5.95e+03 4.57 77.1
6.6392501115114815 20 10.893403229040711 17.96172845702655 9.0 0.044525564061081185 7.0 7.0 3.5 4.2 3.5 2.0 4.00 0.700 1.17 0.00 1.08 136 16.1 1.18e+03 0.904 34.4 64.5 11.0 287 5.29 16.9 136 29.5 1.63e+03 7.48 40.4 262 35.5 4.87e+03 7.78 69.8
7.6392501115114815 25 11.535908310684064 19.52657562296016 11.0 0.048399999001349406 7.0 9.0 4.3 5.6 4.0 2.4 4.00 0.760 1.19 0.00 1.09 136 21.1 1.51e+03 3.03 38.9 51.8 8.73 174 1.00 13.2 173 44.1 3.04e+03 12.9 55.1 262 31.9 4.34e+03 2.26 65.9
8.639250111511481 30 11.118533069890303 21.50687882802141 14.0 0.04555625057512763 8.0 9.0 4.3 5.7 4.0 2.4 4.00 0.800 1.13 0.00 1.06 252 35.9 3.48e+03 7.48 59.0 52.1 7.18 168 0.721 13.0 268 72.5 7.04e+03 37.5 83.9 262 27.2 3.82e+03 1.24 61.8
9.639250111511481 30 11.118533069890303 21.50687882802141 13.0 0.04555625057512763 8.0 9.0 4.3 5.7 4.0 2.4 4.00 1.10 1.47 1.00 1.21 252 35.9 3.48e+03 7.48 59.0 41.8 6.22 98.4 1.44 9.92 520 117 2.33e+04 42.1 153 262 28.4 3.80e+03 3.75 61.7
10.639250111511481 31 10.720723489440015 21.798250461111543 14.0 0.045515930059771774 8.0 9.0 4.3 5.4 4.0 2.3 4.00 0.935 1.40 1.00 1.18 252 35.4 3.37e+03 11.2 58.0 41.8 6.83 103 2.61 10.2 990 140 4.77e+04 39.6 219 262 27.7 3.70e+03 3.60 60.8
11.639250111511481 32 10.845881007879527 21.969593874482282 15.0 0.04698418586815151 8.0 9.0 4.6 6.3 4.0 2.5 4.00 0.938 1.42 1.00 1.19 252 36.4 3.30e+03 12.0 57.4 41.9 6.57 107 1.92 10.3 1.05e+03 172 7.56e+04 40.3 275 262 27.5 3.81e+03 3.08 61.8
12.639250111511481 33 10.824618942188405 22.391335589381626 15.0 0.04845244167653124 8.0 9.0 4.5 6.5 4.0 2.6 4.00 0.939 1.43 1.00 1.20 353 46.0 6.22e+03 12.9 78.9 41.9 6.28 113 1.34 10.6 1.21e+03 205 1.12e+05 41.0 334 262 27.1 3.87e+03 2.22 62.2
13.639250111511481 33 10.824618942188405 22.391335589381626 15.0 0.04845244167653124 8.0 9.0 4.5 6.5 4.0 2.6 4.00 0.970 1.41 1.00 1.19 353 46.0 6.22e+03 12.9 78.9 41.9 6.57 133 1.47 11.5 1.08e+03 221 1.08e+05 41.7 329 262 26.3 3.73e+03 2.28 61.0
14.639250111511481 35 10.313296069800106 23.321576738079223 16.0 0.04606236757582026 9.0 9.0 4.5 6.1 4.0 2.5 4.00 0.914 1.37 1.00 1.17 353 48.0 6.04e+03 16.9 77.7 41.9 6.12 103 1.12 10.1 1.08e+03 225 1.07e+05 41.7 327 262 25.2 3.51e+03 1.68 59.2
15.639250111511481 35 10.313296069800106 23.321576738079223 16.0 0.04606236757582026 9.0 9.0 4.5 6.1 4.0 2.5 4.00 0.971 1.44 1.00 1.20 353 48.0 6.04e+03 16.9 77.7 41.9 5.70 96.3 1.55 9.82 1.28e+03 247 1.39e+05 76.6 373 262 24.7 3.47e+03 1.74 58.9
16.63925011151148 37 10.359865416500993 23.948186944203176 17.0 0.048694502865867136 9.0 9.0 4.6 6.1 4.0 2.5 4.00 0.919 1.41 1.00 1.19 353 54.0 6.44e+03 17.0 80.3 41.9 5.80 94.6 1.42 9.73 1.52e+03 262 1.68e+05 77.0 410 262 24.1 3.34e+03 1.60 57.8
17.63925011151148 37 10.359865416500993 23.948186944203176 17.0 0.048694502865867136 9.0 9.0 4.6 6.1 4.0 2.5 4.00 1.00 1.44 1.00 1.20 353 54.0 6.44e+03 17.0 80.3 41.9 5.56 89.5 1.59 9.46 1.52e+03 281 1.82e+05 77.0 427 262 24.3 3.33e+03 2.23 57.7
18.63925011151148 37 10.359865416500993 23.948186944203176 17.0 0.048694502865867136 9.0 9.0 4.6 6.1 4.0 2.5 4.00 0.973 1.42 1.00 1.19 353 54.0 6.44e+03 17.0 80.3 41.9 5.89 88.8 1.80 9.42 1.52e+03 297 2.03e+05 77.0 450 262 24.7 3.32e+03 3.20 57.6
19.63925011151148 37 10.359865416500993 23.948186944203176 17.0 0.048694502865867136 9.0 9.0 4.6 6.1 4.0 2.5 4.00 0.973 1.42 1.00 1.19 353 54.0 6.44e+03 17.0 80.3 41.9 5.74 90.9 1.61 9.53 1.68e+03 313 2.42e+05 77.0 492 262 24.5 3.35e+03 2.96 57.8
