#####################################################################
# Alchemist log file - simulation started at: 2025-02-24T10:11+0000 #
#####################################################################
#
# seed = 251.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord network-diameter[max] network-diameter[mean] network-diameter[median] network-density[max] network-density[mean] network-density[variance] network-density[median] network-density[StandardDeviation] nodes-degree[max] nodes-degree[mean] nodes-degree[variance] nodes-degree[median] nodes-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] local-resource[max] local-resource[mean] local-resource[variance] local-resource[median] local-resource[StandardDeviation] 
0.0 1 10.0 10.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN 0.0 0.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.08596749559466055 2 12.486773843246418 9.743181284666711 1.0 1.0 1.0 0.78 0.78 0.0 0.78 0.0 1.0 1.0 0.0 1.0 0.0 0.00 0.00 0.00 0.00 0.00 0.00268 0.00268 0.00 0.00268 0.00 NaN NaN NaN NaN NaN 0.00268 0.00268 0.00 0.00268 0.00 274 274 0.00 274 0.00
1.0859674955946605 3 10.499845588453134 8.630119367761415 2.0 2.0 2.0 1.2 0.64 0.58 0.64 0.76 2.0 1.3 0.33 1.0 0.58 1.00 0.667 0.333 1.00 0.577 0.00268 0.00211 9.73e-07 0.00268 0.000986 0.00 0.00 0.00 0.00 0.00 0.00365 0.00276 2.40e-06 0.00365 0.00155 274 183 2.51e+04 274 158
2.0859674955946605 6 10.255798976143256 8.874974655350156 4.0 4.0 4.0 2.3 0.54 1.0 0.084 1.0 3.0 1.7 0.67 1.5 0.82 2.00 0.667 1.07 0.00 1.03 0.0456 0.00867 0.000329 0.00183 0.0181 515 163 5.92e+04 68.5 243 0.0456 0.00901 0.000324 0.00234 0.0180 515 200 3.88e+04 206 197
3.0859674955946605 9 10.844023601976378 10.089830900167117 5.0 5.0 5.0 3.5 0.53 1.5 0.066 1.2 3.0 1.8 0.69 2.0 0.83 3.00 0.556 1.03 0.00 1.01 0.303 0.0468 0.00974 0.00268 0.0987 664 106 5.24e+04 4.01 229 0.303 0.0580 0.00911 0.0456 0.0955 664 135 4.89e+04 8.01 221
4.0859674955946605 14 11.325077806360962 11.176228020782414 7.0 7.0 7.0 5.5 0.52 2.2 0.068 1.5 4.0 2.3 1.3 2.5 1.1 3.00 0.571 0.879 0.00 0.938 5.25 0.407 1.95 0.00318 1.40 58.0 15.8 610 0.0835 24.7 5.25 0.444 1.92 0.0347 1.39 274 47.8 7.03e+03 0.125 83.9
5.0859674955946605 20 10.686761049799271 12.230046203485355 8.0 8.0 8.0 7.8 0.52 3.2 0.066 1.8 6.0 2.9 2.1 3.0 1.4 4.00 0.700 1.38 0.00 1.17 7.56 0.691 3.98 0.00608 1.99 40.9 10.8 244 0.0398 15.6 7.56 1.01 5.04 0.0214 2.25 274 36.3 4.47e+03 0.0597 66.8
6.0859674955946605 24 11.071643127493056 13.355247761425979 8.0 8.0 8.0 9.4 0.52 3.8 0.058 1.9 6.0 3.3 2.5 3.0 1.6 6.00 0.875 2.20 0.00 1.48 47.9 2.99 97.9 0.0131 9.89 45.8 7.99 215 0.0501 14.7 47.9 3.84 101 0.0535 10.0 274 34.4 5.04e+03 0.0927 71.0
7.0859674955946605 24 11.071643127493056 13.355247761425979 8.0 8.0 8.0 9.4 0.52 3.8 0.058 1.9 6.0 3.3 2.5 3.0 1.6 6.00 1.13 2.38 0.500 1.54 47.9 2.99 97.9 0.0131 9.89 35.5 2.56 72.4 0.00 8.51 53.1 9.01 224 0.828 15.0 274 21.2 4.01e+03 0.00 63.3
8.08596749559466 27 11.644397908262386 12.760073296599368 8.0 8.0 8.0 11 0.52 4.2 0.058 2.1 7.0 3.6 3.4 3.0 1.8 6.00 0.889 1.87 0.00 1.37 47.9 2.66 87.5 0.00790 9.35 35.0 4.31 90.3 0.00472 9.50 60.7 11.8 377 0.0178 19.4 274 20.1 3.40e+03 0.0126 58.3
9.08596749559466 33 11.908410372577118 14.10730280404494 9.0 9.0 9.0 13 0.53 5.2 0.066 2.3 8.0 4.0 4.3 4.0 2.1 7.00 0.818 1.90 0.00 1.38 87.0 6.51 352 0.0178 18.8 34.0 5.68 120 0.00941 10.9 125 20.9 1.09e+03 0.0643 33.0 274 21.6 2.99e+03 0.0127 54.7
10.08596749559466 38 13.128056715764775 15.029066059984416 10 10 10 15 0.53 5.9 0.062 2.4 8.0 4.2 5.3 4.0 2.3 7.00 0.842 1.92 0.00 1.39 281 13.1 2.30e+03 0.0214 47.9 34.3 6.00 91.2 0.189 9.55 281 25.2 2.87e+03 0.0943 53.6 274 22.9 2.79e+03 0.233 52.8
11.08596749559466 40 12.960327300388949 15.36585930317772 10 10 10 16 0.53 6.2 0.065 2.5 8.0 4.4 5.7 4.0 2.4 7.00 0.900 1.99 0.00 1.41 281 16.6 2.77e+03 0.0314 52.6 47.7 5.58 143 0.0281 12.0 332 44.6 7.14e+03 0.249 84.5 274 21.6 3.43e+03 0.0449 58.6
12.08596749559466 43 12.361197974921271 16.1644003156011 10 10 10 17 0.53 6.7 0.068 2.6 8.0 4.5 5.2 4.0 2.3 7.00 0.907 2.04 0.00 1.43 281 24.1 3.93e+03 0.0456 62.7 47.6 5.52 155 0.0143 12.5 446 58.1 1.12e+04 0.374 106 274 20.7 3.32e+03 0.0286 57.6
13.08596749559466 47 12.092237188822157 16.911549146764827 10 10 10 18 0.53 7.3 0.060 2.7 8.0 4.7 5.4 5.0 2.3 7.00 0.894 2.05 0.00 1.43 372 34.0 6.58e+03 0.124 81.1 57.3 5.08 150 0.0157 12.2 523 97.8 2.50e+04 0.983 158 274 19.2 3.04e+03 0.0190 55.1
14.08596749559466 50 11.910380916246108 17.691555535400404 10 10 10 20 0.54 7.8 0.064 2.8 8.0 4.6 5.4 5.0 2.3 7.00 0.940 2.06 0.00 1.43 669 52.4 1.62e+04 0.338 127 48.9 4.68 120 0.00692 11.0 741 142 4.88e+04 1.56 221 274 19.3 2.87e+03 0.0148 53.6
15.08596749559466 53 11.726866785646958 18.544470184931466 10 10 10 21 0.54 8.2 0.068 2.9 8.0 4.7 5.0 5.0 2.2 7.00 0.925 2.22 0.00 1.49 669 69.7 2.30e+04 0.518 152 43.2 4.69 92.9 0.0646 9.64 1.32e+03 206 1.09e+05 4.50 331 274 18.2 2.51e+03 0.0987 50.1
16.08596749559466 53 11.726866785646958 18.544470184931466 10 10 10 21 0.54 8.2 0.068 2.9 8.0 4.7 5.0 5.0 2.2 7.00 1.00 1.96 1.00 1.40 669 69.7 2.30e+04 0.518 152 45.0 4.46 96.0 0.0890 9.80 1.99e+03 291 2.54e+05 19.2 504 274 18.1 2.56e+03 0.0960 50.6
17.08596749559466 55 11.341320343575402 18.913622801591742 10 10 10 22 0.54 8.5 0.071 2.9 8.0 4.8 5.0 5.0 2.2 7.00 0.945 1.94 0.00 1.39 669 69.9 2.22e+04 0.527 149 46.4 4.47 103 0.0651 10.2 2.35e+03 322 3.53e+05 28.0 594 274 17.4 2.54e+03 0.115 50.4
18.08596749559466 56 11.219529832089993 19.180253378108155 10 10 10 22 0.54 8.7 0.072 2.9 8.0 4.8 5.0 5.0 2.2 7.00 0.964 1.93 0.500 1.39 669 75.5 2.36e+04 0.553 153 46.2 4.39 102 0.135 10.1 2.91e+03 401 6.01e+05 50.5 775 274 17.4 2.54e+03 0.328 50.4
19.08596749559466 57 11.128427024842534 19.463452690598874 10 10 10 22 0.54 8.8 0.073 3.0 8.0 4.8 5.0 5.0 2.2 7.00 0.965 2.00 0.00 1.41 669 83.3 2.67e+04 0.580 163 52.1 4.29 112 0.396 10.6 3.19e+03 445 7.44e+05 53.1 863 274 17.4 2.67e+03 0.469 51.7
20.08596749559466 57 11.128427024842534 19.463452690598874 10 10 10 22 0.54 8.8 0.073 3.0 8.0 4.8 5.0 5.0 2.2 7.00 1.00 2.00 1.00 1.41 669 83.3 2.67e+04 0.580 163 52.9 4.17 114 0.407 10.7 3.69e+03 500 9.20e+05 53.1 959 274 17.3 2.70e+03 0.620 51.9
21.08596749559466 58 11.165913682287346 19.865502339904967 10 10 10 23 0.54 9.0 0.075 3.0 8.0 4.7 5.0 5.0 2.2 7.00 0.966 1.96 0.500 1.40 669 84.9 2.63e+04 0.611 162 56.7 4.22 121 0.487 11.0 3.87e+03 518 9.82e+05 55.7 991 274 17.2 2.73e+03 0.512 52.2
22.08596749559466 58 11.165913682287346 19.865502339904967 10 10 10 23 0.54 9.0 0.075 3.0 8.0 4.7 5.0 5.0 2.2 7.00 0.983 1.95 1.00 1.40 669 84.9 2.63e+04 0.611 162 54.2 4.20 115 0.470 10.7 4.23e+03 549 1.10e+06 55.7 1.05e+03 274 17.2 2.68e+03 0.666 51.8
23.08596749559466 58 11.165913682287346 19.865502339904967 10 10 10 23 0.54 9.0 0.075 3.0 8.0 4.7 5.0 5.0 2.2 7.00 0.983 1.95 1.00 1.40 669 84.9 2.63e+04 0.611 162 49.6 4.18 108 0.470 10.4 4.23e+03 561 1.12e+06 55.7 1.06e+03 274 17.1 2.61e+03 0.755 51.1
