#####################################################################
# Alchemist log file - simulation started at: 2025-02-10T09:14+0000 #
#####################################################################
#
# maxChildren = 3.0, maxResource = 350.0, maxSuccess = 500.0, resourceLowerBound = 5.0, seed = 0.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord network-diameter[max] network-diameter[mean] network-diameter[variance] network-diameter[median] network-diameter[StandardDeviation] network-density[max] network-density[mean] network-density[variance] network-density[median] network-density[StandardDeviation] network-degree[max] network-degree[mean] network-degree[variance] network-degree[median] network-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] local-resource[max] local-resource[mean] local-resource[variance] local-resource[median] local-resource[StandardDeviation] 
0.0 1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN 0.0 0.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.15071724896777527 2 0.8388187888082821 2.3550760156611092 1.0 1.0 0.0 1.0 0.0 0.25 0.25 0.0 0.25 0.0 1.0 1.0 0.0 1.0 0.0 0.00 0.00 0.00 0.00 0.00 0.00186 0.00186 0.00 0.00186 0.00 NaN NaN NaN NaN NaN 0.00186 0.00186 0.00 0.00186 0.00 350 350 0.00 350 0.00
1.1507172489677753 3 2.0428874359457527 0.8107835706185386 2.0 2.0 0.0 2.0 0.0 0.38 0.24 0.040 0.24 0.20 2.0 1.3 0.33 1.0 0.58 1.00 0.667 0.333 1.00 0.577 0.126 0.0431 0.00510 0.00186 0.0714 0.00 0.00 0.00 0.00 0.00 0.127 0.127 1.16e-06 0.127 0.00108 350 233 4.08e+04 350 202
2.1507172489677755 6 1.6316379719014238 1.642975278864433 4.0 4.0 0.0 4.0 0.0 0.76 0.23 0.092 0.10 0.30 3.0 1.7 0.67 1.5 0.82 2.00 0.667 1.07 0.00 1.03 3.03 0.527 1.51 0.00186 1.23 178 88.1 1.04e+04 87.5 102 3.03 0.569 1.46 0.127 1.21 350 175 2.45e+04 176 157
3.1507172489677755 9 0.6074077994949872 3.243854984371177 5.0 5.0 0.0 5.0 0.0 1.1 0.23 0.14 0.066 0.38 3.0 1.8 0.69 2.0 0.83 3.00 0.556 1.03 0.00 1.01 44.4 5.33 215 0.00192 14.7 237 58.8 7.95e+03 0.108 89.1 44.4 6.02 209 0.478 14.5 350 104 1.86e+04 0.215 136
4.1507172489677755 13 0.8667546826926197 5.135713372542319 6.0 6.0 0.0 6.0 0.0 1.6 0.23 0.21 0.067 0.46 5.0 2.3 1.6 2.0 1.3 3.00 0.615 0.923 0.00 0.961 63.0 8.62 416 0.218 20.4 87.4 21.9 1.26e+03 0.0431 35.5 63.0 12.6 513 0.473 22.7 350 66.4 1.36e+04 0.0799 117
5.1507172489677755 16 -0.45840195170450043 6.484103027537455 7.0 7.0 0.0 7.0 0.0 2.0 0.24 0.26 0.052 0.51 6.0 2.9 2.3 3.0 1.5 3.00 0.750 1.13 0.00 1.06 63.0 8.43 334 0.380 18.3 65.6 17.4 863 0.0709 29.4 107 21.2 1.03e+03 2.09 32.1 350 62.6 1.24e+04 0.559 111
6.1507172489677755 21 -0.9710570055611695 8.183124714172939 8.0 8.0 0.0 8.0 0.0 2.7 0.25 0.34 0.066 0.59 8.0 3.3 4.4 3.0 2.1 4.00 0.714 1.31 0.00 1.15 97.4 15.9 787 0.574 28.0 67.9 12.9 475 0.613 21.8 120 29.8 1.66e+03 3.48 40.8 350 51.4 1.01e+04 1.22 100
7.1507172489677755 24 -0.7386446762294937 9.228151887158056 8.0 8.0 0.0 8.0 0.0 3.0 0.25 0.39 0.064 0.63 8.0 3.6 5.0 3.0 2.2 4.00 0.833 1.62 0.00 1.27 202 30.6 3.25e+03 2.04 57.0 56.4 10.4 360 0.603 19.0 215 57.7 5.25e+03 10.4 72.5 350 45.9 9.17e+03 1.01 95.8
8.150717248967776 28 0.10073804790731763 10.362720408773296 8.0 8.0 0.0 8.0 0.0 3.5 0.26 0.46 0.075 0.68 9.0 3.9 5.3 4.0 2.3 5.00 0.857 1.83 0.00 1.35 428 44.9 8.48e+03 3.25 92.1 49.6 8.41 233 0.589 15.3 439 95.2 1.82e+04 17.4 135 350 39.5 8.06e+03 0.887 89.8
