#####################################################################
# Alchemist log file - simulation started at: 2025-02-24T10:11+0000 #
#####################################################################
#
# seed = 239.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord network-diameter[max] network-diameter[mean] network-diameter[median] network-density[max] network-density[mean] network-density[variance] network-density[median] network-density[StandardDeviation] nodes-degree[max] nodes-degree[mean] nodes-degree[variance] nodes-degree[median] nodes-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] local-resource[max] local-resource[mean] local-resource[variance] local-resource[median] local-resource[StandardDeviation] 
0.0 1 10.0 10.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN 0.0 0.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.16036039166877614 2 11.357612621339445 12.099258909801227 1.0 1.0 1.0 0.18 0.18 0.0 0.18 0.0 1.0 1.0 0.0 1.0 0.0 0.00 0.00 0.00 0.00 0.00 0.00268 0.00268 0.00 0.00268 0.00 NaN NaN NaN NaN NaN 0.00268 0.00268 0.00 0.00268 0.00 274 274 0.00 274 0.00
1.1603603916687761 3 9.241980256551683 11.2904491517843 2.0 2.0 2.0 0.26 0.17 0.016 0.17 0.13 2.0 1.3 0.33 1.0 0.58 1.00 0.667 0.333 1.00 0.577 0.108 0.0379 0.00372 0.00268 0.0610 0.00 0.00 0.00 0.00 0.00 0.111 0.110 2.40e-06 0.111 0.00155 274 183 2.51e+04 274 158
2.1603603916687764 6 8.620749037165005 10.849631570632388 4.0 4.0 4.0 0.53 0.19 0.038 0.11 0.19 3.0 2.0 0.80 2.0 0.89 2.00 0.667 1.07 0.00 1.03 0.108 0.0209 0.00183 0.00375 0.0428 140 69.4 6.42e+03 68.5 80.1 0.112 0.0574 0.00343 0.0571 0.0586 274 138 1.50e+04 139 123
3.1603603916687764 9 9.442847373962653 11.363475058249518 4.0 4.0 4.0 0.79 0.19 0.064 0.099 0.25 4.0 2.4 1.0 3.0 1.0 3.00 0.556 1.03 0.00 1.01 3.69 0.458 1.48 0.00482 1.21 187 46.3 4.90e+03 0.979 70.0 3.69 0.473 1.46 0.00599 1.21 274 81.7 1.14e+04 1.96 107
4.160360391668776 12 9.283010111853729 12.412766615469152 5.0 5.0 5.0 1.1 0.20 0.090 0.062 0.30 5.0 2.8 2.0 3.0 1.4 3.00 0.667 0.970 0.00 0.985 24.6 2.66 49.5 0.00537 7.03 130 18.7 1.73e+03 0.0659 41.6 24.6 3.31 47.9 0.320 6.92 274 51.3 8.98e+03 0.170 94.8
5.160360391668776 17 10.818487785933783 14.255117638977724 6.0 6.0 6.0 1.5 0.20 0.13 0.065 0.37 5.0 2.9 2.2 3.0 1.5 4.00 0.647 1.49 0.00 1.22 54.9 5.41 198 0.108 14.1 70.1 12.9 485 0.0550 22.0 54.9 7.75 221 0.317 14.9 274 40.3 6.43e+03 0.216 80.2
6.160360391668776 21 10.000864566124651 15.661322783542998 6.0 6.0 6.0 1.8 0.21 0.17 0.072 0.41 5.0 3.0 2.3 3.0 1.5 4.00 0.810 1.26 0.00 1.12 175 19.2 2.25e+03 0.232 47.4 67.3 9.51 376 0.0345 19.4 175 26.4 2.36e+03 2.08 48.6 274 35.8 5.88e+03 0.107 76.7
7.160360391668776 25 9.672217408013358 17.560045061648584 7.0 7.0 7.0 2.2 0.22 0.20 0.065 0.45 6.0 3.0 2.5 3.0 1.6 4.00 0.800 1.17 0.00 1.08 567 46.8 1.41e+04 0.783 119 50.8 8.53 237 0.801 15.4 567 70.0 1.53e+04 4.82 124 274 32.2 5.09e+03 1.19 71.3
8.160360391668776 30 9.375623092234786 19.15714750713038 8.0 8.0 8.0 2.6 0.22 0.25 0.070 0.50 6.0 3.1 2.6 3.0 1.6 4.00 0.800 1.13 0.00 1.06 567 53.5 1.32e+04 2.77 115 49.7 7.06 146 1.80 12.1 741 109 3.34e+04 10.0 183 274 28.2 4.23e+03 2.70 65.0
