#####################################################################
# Alchemist log file - simulation started at: 2025-03-03T13:32+0000 #
#####################################################################
#
# seed = 331.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord number-of-leaves network-diameter[max] network-diameter[mean] network-diameter[median] network-density[max] network-density[mean] network-density[variance] network-density[median] network-density[StandardDeviation] nodes-degree[max] nodes-degree[mean] nodes-degree[variance] nodes-degree[median] nodes-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] local-resource[max] local-resource[mean] local-resource[variance] local-resource[median] local-resource[StandardDeviation] 
0.0 1 10.0 10.0 1.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN 0.0 0.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.9591369619843326 2 9.300677923326159 12.400197623754465 1.0 1.0 1.0 1.0 0.30 0.30 0.0 0.30 0.0 1.0 1.0 0.0 1.0 0.0 0.00 0.00 0.00 0.00 0.00 0.000518 0.000518 0.00 0.000518 0.00 NaN NaN NaN NaN NaN 0.000518 0.000518 0.00 0.000518 0.00 298 298 0.00 298 0.00
1.9591369619843326 3 11.017599451468408 10.841136828957502 2.0 2.0 2.0 2.0 0.45 0.26 0.070 0.26 0.26 2.0 1.3 0.33 1.0 0.58 1.00 0.667 0.333 1.00 0.577 0.0382 0.0131 0.000473 0.000518 0.0218 0.00 0.00 0.00 0.00 0.00 0.0387 0.0385 8.95e-08 0.0387 0.000299 298 199 2.96e+04 298 172
2.0013127332481946 5 9.973631673722771 10.438069208745205 2.0 4.0 4.0 4.0 0.74 0.24 0.11 0.097 0.34 2.0 1.6 0.30 2.0 0.55 1.00 0.200 0.200 0.00 0.447 0.0816 0.0241 0.00131 0.000518 0.0361 151 75.0 7.51e+03 74.5 86.7 0.0816 0.0317 0.00115 0.0382 0.0339 298 120 1.56e+04 149 125
3.0013127332481946 9 10.01772922515351 10.93360445236178 6.0 5.0 5.0 5.0 1.3 0.24 0.20 0.063 0.45 4.0 2.4 1.0 3.0 1.0 2.00 0.556 0.528 0.00 0.726 0.0816 0.0267 0.00123 0.000518 0.0351 201 100 5.79e+03 99.3 76.1 0.120 0.0491 0.00273 0.0388 0.0523 298 144 1.02e+04 199 101
4.001312733248195 11 9.704895762059897 11.626654976505085 6.0 5.0 5.0 5.0 1.6 0.25 0.24 0.070 0.49 4.0 2.5 1.1 3.0 1.0 3.00 1.00 1.00 1.00 1.00 0.645 0.101 0.0370 0.0382 0.192 74.5 16.6 944 0.0302 30.7 0.765 0.284 0.0947 0.221 0.308 298 70.8 1.34e+04 0.0604 116
5.001312733248195 13 9.122488882189412 12.746201089973693 7.0 5.0 5.0 5.0 1.9 0.25 0.29 0.070 0.54 4.0 2.6 1.1 3.0 1.0 3.00 0.923 1.41 0.00 1.19 9.76 0.858 7.19 0.0382 2.68 132 18.6 1.54e+03 0.00473 39.2 9.76 1.05 7.00 0.304 2.65 298 57.1 9.77e+03 0.00947 98.9
6.001312733248195 17 9.321748658129344 14.56843664613525 8.0 6.0 6.0 6.0 2.5 0.25 0.38 0.061 0.62 4.0 2.6 1.1 3.0 1.1 3.00 0.706 1.35 0.00 1.16 9.86 1.44 10.6 0.0382 3.26 55.9 13.2 432 0.00275 20.8 11.1 2.76 19.3 0.221 4.39 298 42.5 7.48e+03 0.00551 86.5
7.001312733248195 21 10.525189463711266 15.986892849823876 10.0 7.0 7.0 7.0 3.1 0.26 0.47 0.068 0.68 5.0 3.0 1.3 3.0 1.2 3.00 0.762 1.19 0.00 1.09 28.8 2.71 44.7 0.0412 6.68 55.9 11.2 401 0.328 20.0 28.8 5.35 75.0 0.338 8.66 298 39.4 6.88e+03 1.70 83.0
8.001312733248195 23 10.535003451627158 16.771541285731438 12.0 7.0 7.0 7.0 3.4 0.26 0.51 0.067 0.72 7.0 3.2 2.4 3.0 1.5 3.00 0.870 1.30 0.00 1.14 52.3 4.89 147 0.0816 12.1 55.9 8.99 284 0.751 16.8 52.3 9.45 232 0.348 15.2 298 37.6 6.46e+03 1.36 80.4
