#####################################################################
# Alchemist log file - simulation started at: 2025-02-10T16:29+0000 #
#####################################################################
#
# maxResource = 350.0, maxSuccess = 500.0, resourceLowerBound = 5.0, seed = 10.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord network-diameter[max] network-diameter[mean] network-diameter[median] network-density[max] network-density[mean] network-density[variance] network-density[median] network-density[StandardDeviation] network-degree[max] network-degree[mean] network-degree[variance] network-degree[median] network-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] local-resource[max] local-resource[mean] local-resource[variance] local-resource[median] local-resource[StandardDeviation] 
0.0 1 0.0 0.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN 0.0 0.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.5711645232847797 2 -2.419061851342679 -0.6309831688551847 1.0 1.0 1.0 0.33 0.33 0.0 0.33 0.0 1.0 1.0 0.0 1.0 0.0 0.00 0.00 0.00 0.00 0.00 0.00186 0.00186 0.00 0.00186 0.00 NaN NaN NaN NaN NaN 0.00186 0.00186 0.00 0.00186 0.00 350 350 0.00 350 0.00
1.5711645232847797 3 -0.4861788646306036 -1.6489510569966164 2.0 2.0 2.0 0.49 0.30 0.077 0.30 0.28 2.0 1.3 0.33 1.0 0.58 1.00 0.667 0.333 1.00 0.577 0.00186 0.00135 7.94e-07 0.00186 0.000891 0.00 0.00 0.00 0.00 0.00 0.00218 0.00156 1.16e-06 0.00218 0.00108 350 233 4.08e+04 350 202
2.5711645232847795 6 -0.08701220031184498 -1.304794311856052 3.0 3.0 3.0 0.98 0.29 0.15 0.11 0.39 4.0 2.7 1.1 3.0 1.0 2.00 0.667 1.07 0.00 1.03 0.00372 0.00130 2.15e-06 0.00109 0.00147 1.19e+03 342 3.29e+05 87.5 574 0.00372 0.00142 2.34e-06 0.00127 0.00153 1.19e+03 345 1.98e+05 263 445
3.5711645232847795 10 -0.5921260523260704 -1.6136557057311305 5.0 5.0 5.0 1.6 0.31 0.25 0.13 0.50 5.0 3.2 0.84 3.0 0.92 4.00 0.600 1.60 0.00 1.26 0.00372 0.000780 1.58e-06 7.54e-05 0.00126 1.48e+03 189 2.37e+05 0.00 487 0.0113 0.00210 1.28e-05 0.000213 0.00358 1.48e+03 217 2.12e+05 9.50 460
4.5711645232847795 15 1.7143912899239566 -1.9886905656826273 6.0 6.0 6.0 2.5 0.33 0.39 0.14 0.62 7.0 3.7 2.6 3.0 1.6 4.00 0.600 1.26 0.00 1.12 0.00749 0.00103 4.31e-06 7.81e-05 0.00208 110 20.0 1.07e+03 1.64 32.7 0.00780 0.00144 7.35e-06 7.81e-05 0.00271 350 47.8 8.49e+03 6.16 92.1
5.5711645232847795 20 1.4735368571060339 -1.6424574831966283 6.0 6.0 6.0 3.3 0.34 0.53 0.15 0.73 10 5.2 6.3 5.0 2.5 5.00 0.750 1.57 0.00 1.25 0.00749 0.000972 3.36e-06 9.03e-05 0.00183 87.7 11.8 759 0.176 27.6 0.0229 0.00241 2.99e-05 0.000103 0.00547 350 36.7 7.44e+03 0.376 86.3
6.5711645232847795 26 2.8649548718684135 -1.023312170350739 7.0 7.0 7.0 4.3 0.35 0.70 0.097 0.83 12 6.2 11 7.0 3.3 8.00 0.846 3.02 0.00 1.74 0.481 0.0194 0.00885 0.000102 0.0941 104 10.6 532 0.0351 23.1 0.481 0.0202 0.00883 0.000232 0.0940 350 30.1 5.40e+03 0.275 73.5
7.5711645232847795 29 2.558987435047684 -0.15822007488923764 7.0 7.0 7.0 4.7 0.36 0.78 0.11 0.88 12 5.9 11 7.0 3.4 9.00 0.966 3.25 0.00 1.80 9.90 0.372 3.37 0.000104 1.83 71.2 8.53 347 2.34 18.6 9.90 0.407 3.36 0.00152 1.83 350 27.0 4.84e+03 2.49 69.5
8.571164523284779 32 1.921445116387366 0.6992148410578325 7.0 7.0 7.0 5.2 0.36 0.86 0.10 0.93 12 5.8 11 5.5 3.3 9.00 0.875 2.82 0.00 1.68 61.9 2.38 121 0.000315 11.0 102 10.8 739 0.233 27.2 61.9 2.74 123 0.00185 11.1 350 30.5 7.15e+03 0.351 84.6
9.571164523284779 36 2.1662715424885457 1.716673536143361 7.0 7.0 7.0 5.9 0.36 0.98 0.11 0.99 12 5.8 9.6 5.5 3.1 9.00 0.861 2.64 0.00 1.62 61.9 3.05 124 0.00155 11.1 78.6 9.01 419 0.129 20.5 71.8 5.74 254 0.00205 15.9 350 27.6 5.28e+03 0.189 72.7
10.571164523284779 39 1.6515935532119972 2.4725738739473972 8.0 8.0 8.0 6.4 0.37 1.1 0.12 1.0 12 5.9 9.9 5.0 3.1 9.00 0.897 2.46 1.00 1.57 217 9.03 1.29e+03 0.00158 35.9 86.2 7.70 406 0.0195 20.2 217 14.1 1.56e+03 0.00207 39.5 350 27.2 6.07e+03 0.0389 77.9
11.571164523284779 41 1.3788867327663037 3.4390546167967053 9.0 9.0 9.0 6.7 0.37 1.1 0.13 1.1 12 5.8 9.9 5.0 3.1 10.0 0.976 2.87 1.00 1.70 285 20.5 3.93e+03 0.00170 62.7 75.6 7.24 343 0.0156 18.5 285 35.9 5.78e+03 0.00218 76.1 350 28.3 6.32e+03 0.0297 79.5
12.571164523284779 45 1.5592007182150809 4.321880772137574 9.0 9.0 9.0 7.4 0.37 1.2 0.12 1.1 13 6.0 10 6.0 3.2 10.0 0.889 2.65 0.00 1.63 423 29.9 7.23e+03 0.00186 85.0 72.5 7.02 288 0.00391 17.0 563 60.7 1.72e+04 0.00222 131 350 25.9 5.41e+03 0.00770 73.6
13.035776701448512 51 0.9443419124799152 5.436524082816211 10 10 10 8.4 0.38 1.4 0.12 1.2 13 6.1 8.7 6.0 3.0 10.0 0.882 2.51 0.00 1.58 423 33.1 6.85e+03 0.00224 82.7 77.1 6.38 265 0.00324 16.3 843 85.0 3.59e+04 0.00649 189 350 23.5 4.96e+03 0.00526 70.4
14.003365450681367 52 0.9263768899893778 5.73536584639719 10 10 10 8.5 0.38 1.4 0.12 1.2 13 6.1 8.5 6.0 2.9 10.0 1.00 2.63 0.500 1.62 423 39.4 8.79e+03 0.00298 93.7 78.5 5.79 259 0.00172 16.1 1.26e+03 129 7.18e+04 0.0480 268 350 23.8 5.20e+03 0.00341 72.1
15.003365450681367 52 0.9263768899893778 5.73536584639719 10 10 10 8.5 0.38 1.4 0.12 1.2 13 6.1 8.5 6.0 2.9 10.0 0.981 2.53 1.00 1.59 423 39.4 8.79e+03 0.00298 93.7 79.0 5.89 280 0.00138 16.7 1.72e+03 165 1.21e+05 0.0927 348 350 23.8 5.32e+03 0.00281 73.0
16.003365450681365 53 0.8361255985274126 6.1923423090937035 10 10 10 8.7 0.38 1.5 0.12 1.2 13 6.0 8.8 6.0 3.0 10.0 0.962 2.50 1.00 1.58 423 42.9 9.29e+03 0.00372 96.4 79.2 6.10 280 0.00699 16.7 1.89e+03 205 1.78e+05 0.0959 422 350 23.7 5.26e+03 0.0123 72.5
17.003365450681365 53 0.8361255985274126 6.1923423090937035 10 10 10 8.7 0.38 1.5 0.12 1.2 13 6.0 8.8 6.0 3.0 10.0 0.981 2.48 1.00 1.57 423 42.9 9.29e+03 0.00372 96.4 79.3 5.95 277 0.00596 16.6 1.91e+03 235 2.39e+05 0.0959 489 350 23.6 5.27e+03 0.0119 72.6
18.003365450681365 54 0.7064201446509443 6.444585839204076 10 10 10 8.8 0.38 1.5 0.13 1.2 13 6.0 8.6 6.0 2.9 10.0 0.963 2.45 1.00 1.57 423 44.7 9.27e+03 0.00510 96.3 79.4 6.11 277 0.00744 16.7 2.22e+03 258 3.05e+05 0.188 552 350 23.6 5.21e+03 0.0112 72.1
19.003365450681365 54 0.7064201446509443 6.444585839204076 10 10 10 8.8 0.38 1.5 0.13 1.2 13 6.0 8.6 6.0 2.9 10.0 0.981 2.47 1.00 1.57 423 44.7 9.27e+03 0.00510 96.3 79.4 5.97 278 0.00559 16.7 2.38e+03 270 3.29e+05 0.188 573 350 23.4 5.22e+03 0.0273 72.3
20.003365450681365 54 0.7064201446509443 6.444585839204076 10 10 10 8.8 0.38 1.5 0.13 1.2 13 6.0 8.6 6.0 2.9 10.0 0.981 2.47 1.00 1.57 423 44.7 9.27e+03 0.00510 96.3 79.4 5.99 278 0.00475 16.7 2.41e+03 286 3.82e+05 0.188 618 350 23.5 5.22e+03 0.0211 72.3
21.003365450681365 54 0.7064201446509443 6.444585839204076 10 10 10 8.8 0.38 1.5 0.13 1.2 13 6.0 8.6 6.0 2.9 10.0 0.981 2.47 1.00 1.57 423 44.7 9.27e+03 0.00510 96.3 79.5 6.02 279 0.00559 16.7 2.41e+03 293 4.08e+05 0.188 639 350 23.5 5.23e+03 0.0195 72.3
22.003365450681365 54 0.7064201446509443 6.444585839204076 10 10 10 8.8 0.38 1.5 0.13 1.2 13 6.0 8.6 6.0 2.9 10.0 0.981 2.47 1.00 1.57 423 44.7 9.27e+03 0.00510 96.3 79.4 6.00 280 0.00475 16.7 2.41e+03 293 4.09e+05 0.188 639 350 23.5 5.23e+03 0.0211 72.3
23.003365450681365 54 0.7064201446509443 6.444585839204076 10 10 10 8.8 0.38 1.5 0.13 1.2 13 6.0 8.6 6.0 2.9 10.0 0.981 2.47 1.00 1.57 423 44.7 9.27e+03 0.00510 96.3 79.5 6.00 280 0.00475 16.7 2.41e+03 300 4.35e+05 0.188 660 350 23.5 5.23e+03 0.0186 72.3
24.003365450681365 54 0.7064201446509443 6.444585839204076 10 10 10 8.8 0.38 1.5 0.13 1.2 13 6.0 8.6 6.0 2.9 10.0 0.981 2.47 1.00 1.57 423 44.7 9.27e+03 0.00510 96.3 79.5 6.00 280 0.00475 16.7 2.41e+03 300 4.35e+05 0.188 660 350 23.5 5.23e+03 0.0186 72.3
25.003365450681365 54 0.7064201446509443 6.444585839204076 10 10 10 8.8 0.38 1.5 0.13 1.2 13 6.0 8.6 6.0 2.9 10.0 0.981 2.47 1.00 1.57 423 44.7 9.27e+03 0.00510 96.3 79.5 6.00 280 0.00475 16.7 2.41e+03 300 4.35e+05 0.188 660 350 23.5 5.23e+03 0.0186 72.3
26.003365450681365 54 0.7064201446509443 6.444585839204076 10 10 10 8.8 0.38 1.5 0.13 1.2 13 6.0 8.6 6.0 2.9 10.0 0.981 2.47 1.00 1.57 423 44.7 9.27e+03 0.00510 96.3 79.5 6.00 280 0.00475 16.7 2.41e+03 300 4.35e+05 0.188 660 350 23.5 5.23e+03 0.0186 72.3
27.003365450681365 54 0.7064201446509443 6.444585839204076 10 10 10 8.8 0.38 1.5 0.13 1.2 13 6.0 8.6 6.0 2.9 10.0 0.981 2.47 1.00 1.57 423 44.7 9.27e+03 0.00510 96.3 79.5 6.00 280 0.00475 16.7 2.41e+03 300 4.35e+05 0.188 660 350 23.5 5.23e+03 0.0186 72.3
28.003365450681365 54 0.7064201446509443 6.444585839204076 10 10 10 8.8 0.38 1.5 0.13 1.2 13 6.0 8.6 6.0 2.9 10.0 0.981 2.47 1.00 1.57 423 44.7 9.27e+03 0.00510 96.3 79.5 6.00 280 0.00475 16.7 2.41e+03 300 4.35e+05 0.188 660 350 23.5 5.23e+03 0.0186 72.3
29.003365450681365 54 0.7064201446509443 6.444585839204076 10 10 10 8.8 0.38 1.5 0.13 1.2 13 6.0 8.6 6.0 2.9 10.0 0.981 2.47 1.00 1.57 423 44.7 9.27e+03 0.00510 96.3 79.5 6.00 280 0.00475 16.7 2.41e+03 300 4.35e+05 0.188 660 350 23.5 5.23e+03 0.0186 72.3
30.003365450681365 54 0.7064201446509443 6.444585839204076 10 10 10 8.8 0.38 1.5 0.13 1.2 13 6.0 8.6 6.0 2.9 10.0 0.981 2.47 1.00 1.57 423 44.7 9.27e+03 0.00510 96.3 79.5 6.00 280 0.00475 16.7 2.41e+03 300 4.35e+05 0.188 660 350 23.5 5.23e+03 0.0186 72.3
31.003365450681365 54 0.7064201446509443 6.444585839204076 10 10 10 8.8 0.38 1.5 0.13 1.2 13 6.0 8.6 6.0 2.9 10.0 0.981 2.47 1.00 1.57 423 44.7 9.27e+03 0.00510 96.3 79.5 6.00 280 0.00475 16.7 2.41e+03 300 4.35e+05 0.188 660 350 23.5 5.23e+03 0.0186 72.3
32.003365450681365 54 0.7064201446509443 6.444585839204076 10 10 10 8.8 0.38 1.5 0.13 1.2 13 6.0 8.6 6.0 2.9 10.0 0.981 2.47 1.00 1.57 423 44.7 9.27e+03 0.00510 96.3 79.5 6.00 280 0.00475 16.7 2.41e+03 300 4.35e+05 0.188 660 350 23.5 5.23e+03 0.0186 72.3
#####################################################################
# End of data export. Simulation finished at: 2025-02-10T16:29+0000 #
#####################################################################
