#####################################################################
# Alchemist log file - simulation started at: 2024-12-05T09:41+0000 #
#####################################################################
#
# seed = 6.0
#
# The columns have the following meaning: 
# time children-count[min] children-count[max] children-count[mean] local-success[min] local-success[max] local-success[mean] resource[min] resource[max] resource[mean] success[min] success[max] success[mean] local-resource[min] local-resource[max] local-resource[mean] 
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.06460426246408058 0.00 0.00 0.00 0.00373 0.00373 0.00373 NaN NaN NaN 0.00373 0.00373 0.00373 1.00e+03 1.00e+03 1.00e+03
1.0646042624640806 0.00 1.00 0.500 0.000221 0.00373 0.00197 0.00 0.00 0.00 0.000221 0.00395 0.00208 0.00 1.00e+03 500
2.064604262464081 0.00 1.00 0.500 0.000221 0.00373 0.00197 500 500 500 0.000221 0.00395 0.00208 500 1.00e+03 750
3.064604262464081 0.00 1.00 0.500 0.000221 0.00373 0.00197 500 500 500 0.000221 0.00395 0.00208 500 1.00e+03 750
4.064604262464081 0.00 1.00 0.500 0.000221 0.00373 0.00197 500 500 500 0.000221 0.00395 0.00208 500 1.00e+03 750
5.064604262464081 0.00 1.00 0.500 0.000221 0.00373 0.00197 500 500 500 0.000221 0.00395 0.00208 500 1.00e+03 750
6.064604262464081 0.00 1.00 0.500 0.000221 0.00373 0.00197 500 500 500 0.000221 0.00395 0.00208 500 1.00e+03 750
7.064604262464081 0.00 1.00 0.500 0.000221 0.00373 0.00197 500 500 500 0.000221 0.00395 0.00208 500 1.00e+03 750
8.06460426246408 0.00 1.00 0.500 0.000221 0.00373 0.00197 500 500 500 0.000221 0.00395 0.00208 500 1.00e+03 750
9.06460426246408 0.00 1.00 0.500 0.000221 0.00373 0.00197 500 500 500 0.000221 0.00395 0.00208 500 1.00e+03 750
10.06460426246408 0.00 1.00 0.500 0.000221 0.00373 0.00197 500 500 500 0.000221 0.00395 0.00208 500 1.00e+03 750
11.06460426246408 0.00 1.00 0.500 0.000221 0.00373 0.00197 500 500 500 0.000221 0.00395 0.00208 500 1.00e+03 750
12.06460426246408 0.00 1.00 0.500 0.000221 0.00373 0.00197 500 500 500 0.000221 0.00395 0.00208 500 1.00e+03 750
13.06460426246408 0.00 1.00 0.500 0.000221 0.00373 0.00197 500 500 500 0.000221 0.00395 0.00208 500 1.00e+03 750
14.06460426246408 0.00 1.00 0.500 0.000221 0.00373 0.00197 500 500 500 0.000221 0.00395 0.00208 500 1.00e+03 750
15.06460426246408 0.00 1.00 0.500 0.000221 0.00373 0.00197 500 500 500 0.000221 0.00395 0.00208 500 1.00e+03 750
16.06460426246408 0.00 1.00 0.500 0.000221 0.00373 0.00197 500 500 500 0.000221 0.00395 0.00208 500 1.00e+03 750
17.06460426246408 0.00 1.00 0.500 0.000221 0.00373 0.00197 500 500 500 0.000221 0.00395 0.00208 500 1.00e+03 750
18.06460426246408 0.00 1.00 0.500 0.000221 0.00373 0.00197 500 500 500 0.000221 0.00395 0.00208 500 1.00e+03 750
19.06460426246408 0.00 1.00 0.500 0.000221 0.00373 0.00197 500 500 500 0.000221 0.00395 0.00208 500 1.00e+03 750
20.06460426246408 0.00 1.00 0.500 0.000221 0.00373 0.00197 500 500 500 0.000221 0.00395 0.00208 500 1.00e+03 750
21.06460426246408 0.00 1.00 0.500 0.000221 0.00373 0.00197 500 500 500 0.000221 0.00395 0.00208 500 1.00e+03 750
22.06460426246408 0.00 1.00 0.500 0.000221 0.00373 0.00197 500 500 500 0.000221 0.00395 0.00208 500 1.00e+03 750
23.06460426246408 0.00 1.00 0.500 0.000221 0.00373 0.00197 500 500 500 0.000221 0.00395 0.00208 500 1.00e+03 750
24.06460426246408 0.00 1.00 0.500 0.000221 0.00373 0.00197 500 500 500 0.000221 0.00395 0.00208 500 1.00e+03 750
25.06460426246408 0.00 1.00 0.500 0.000221 0.00373 0.00197 500 500 500 0.000221 0.00395 0.00208 500 1.00e+03 750
26.06460426246408 0.00 1.00 0.500 0.000221 0.00373 0.00197 500 500 500 0.000221 0.00395 0.00208 500 1.00e+03 750
27.06460426246408 0.00 1.00 0.500 0.000221 0.00373 0.00197 500 500 500 0.000221 0.00395 0.00208 500 1.00e+03 750
28.06460426246408 0.00 1.00 0.500 0.000221 0.00373 0.00197 500 500 500 0.000221 0.00395 0.00208 500 1.00e+03 750
29.06460426246408 0.00 1.00 0.500 0.000221 0.00373 0.00197 500 500 500 0.000221 0.00395 0.00208 500 1.00e+03 750
30.06460426246408 0.00 1.00 0.500 0.000221 0.00373 0.00197 500 500 500 0.000221 0.00395 0.00208 500 1.00e+03 750
31.06460426246408 0.00 1.00 0.500 0.000221 0.00373 0.00197 500 500 500 0.000221 0.00395 0.00208 500 1.00e+03 750
32.06460426246408 0.00 1.00 0.500 0.000221 0.00373 0.00197 500 500 500 0.000221 0.00395 0.00208 500 1.00e+03 750
33.06460426246408 0.00 1.00 0.500 0.000221 0.00373 0.00197 500 500 500 0.000221 0.00395 0.00208 500 1.00e+03 750
34.06460426246408 0.00 1.00 0.500 0.000221 0.00373 0.00197 500 500 500 0.000221 0.00395 0.00208 500 1.00e+03 750
35.06460426246408 0.00 1.00 0.500 0.000221 0.00373 0.00197 500 500 500 0.000221 0.00395 0.00208 500 1.00e+03 750
36.06460426246408 0.00 1.00 0.500 0.000221 0.00373 0.00197 500 500 500 0.000221 0.00395 0.00208 500 1.00e+03 750
37.06460426246408 0.00 1.00 0.500 0.000221 0.00373 0.00197 500 500 500 0.000221 0.00395 0.00208 500 1.00e+03 750
